Primary star name(from standardize_OEC_star.csv),star_name(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),star_mass(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),star_mass_error_min(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),star_mass_error_max(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),star_radius(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),star_radius_error_min(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),star_radius_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),star_age(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),star_metallicity(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),star_metallicity_error_min(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),star_metallicity_error_max(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),star_teff(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),star_teff_error_min(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),star_teff_error_max(from standardize_EU_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),mag_v(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),Visual magnitude errorminus(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),Visual magnitude errorplus(from standardize_EU_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_EU_Catalogue_Star_Data.csv)
Kepler-926,Kepler-926,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.173,0.13,0.132,,,125.7,125.66,100.4,100.39,,,,,,,,,Kepler-926.xml,
Kepler-927,Kepler-927,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.131,,,106.0,106.02,85.7,85.68,,,,,,,,,Kepler-927.xml,
Kepler-928,Kepler-928,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.17,0.171,,,58.0,57.97,57.5,57.52,,,,,,,,,Kepler-928.xml,
Kepler-929,Kepler-929,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.183,,,,,266.5,266.47,290.4,290.44,,,,,,,,,Kepler-929.xml,
Kepler-93,Kepler-93,,,,,,,,,,,,,,,,,,,,0.9,,0.9,,,,,,,,,,,,,,,10.00,,0.03,,0.03,,Kepler-93.xml,
Kepler-930,Kepler-930,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.156,0.13,0.128,,,258.9,258.85,273.3,273.34,,,,,,,,,Kepler-930.xml,
Kepler-931,Kepler-931,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.155,0.15,0.149,,,198.9,198.95,223.6,223.61,,,,,,,,,Kepler-931.xml,
Kepler-932,Kepler-932,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.157,0.14,0.142,,,166.7,166.65,194.8,194.78,,,,,,,,,Kepler-932.xml,
Kepler-933,Kepler-933,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.166,0.15,0.153,,,87.1,87.13,65.9,65.89,,,,,,,,,Kepler-933.xml,
Kepler-934,Kepler-934,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,0.15,0.149,,,76.0,76.01,68.2,68.25,,,,,,,,,Kepler-934.xml,
Kepler-935,Kepler-935,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.173,0.16,0.159,,,87.2,87.15,74.6,74.56,,,,,,,,,Kepler-935.xml,
Kepler-936,Kepler-936,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,0.14,0.137,,,127.6,127.57,99.3,99.27,,,,,,,,,Kepler-936.xml,
Kepler-937,Kepler-937,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.145,0.14,0.143,,,,,81.7,81.71,,,,,,,,,Kepler-937.xml,
Kepler-938,Kepler-938,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.182,0.15,0.148,,,,,95.4,95.38,,,,,,,,,Kepler-938.xml,
Kepler-939,Kepler-939,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.201,0.17,0.165,,,105.8,105.85,,,,,,,,,,,Kepler-939.xml,
Kepler-94,Kepler-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.895,,,,,Kepler-94.xml,
Kepler-940,Kepler-940,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.199,0.15,0.152,,,,,169.7,169.66,,,,,,,,,Kepler-940.xml,
Kepler-941,Kepler-941,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.221,0.18,0.177,,,104.0,104.04,154.0,154.02,,,,,,,,,Kepler-941.xml,
Kepler-942,Kepler-942,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.099,,,66.3,66.28,77.8,77.85,,,,,,,,,Kepler-942.xml,
Kepler-944,Kepler-944,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.183,0.16,0.161,,,133.2,133.24,108.7,108.67,,,,,,,,,Kepler-944.xml,
Kepler-945,Kepler-945,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.192,0.13,0.134,,,104.4,104.43,119.3,119.29,,,,,,,,,Kepler-945.xml,
Kepler-946,Kepler-946,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.199,0.16,0.159,,,144.8,144.77,263.4,263.42,,,,,,,,,Kepler-946.xml,
Kepler-947,Kepler-947,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.197,,,,,129.7,129.72,133.2,133.16,,,,,,,,,Kepler-947.xml,
Kepler-948,Kepler-948,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.177,0.13,0.129,,,134.3,134.32,174.9,174.93,,,,,,,,,Kepler-948.xml,
Kepler-949,Kepler-949,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,0.14,0.144,,,208.0,208.02,,,,,,,,,,,Kepler-949.xml,
Kepler-95,Kepler-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.346,,,,,Kepler-95.xml,
Kepler-950,Kepler-950,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.135,,,163.5,163.53,115.9,115.89,,,,,,,,,Kepler-950.xml,
Kepler-951,Kepler-951,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,0.16,0.157,,,91.7,91.65,86.0,86.05,,,,,,,,,Kepler-951.xml,
Kepler-952,Kepler-952,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.136,,,100.2,100.17,87.5,87.45,,,,,,,,,Kepler-952.xml,
Kepler-954,Kepler-954,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.101,0.10,0.105,,,,,61.3,61.28,,,,,,,,,Kepler-954.xml,
Kepler-955,Kepler-955,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,0.15,0.149,,,89.9,89.94,73.4,73.41,,,,,,,,,Kepler-955.xml,
Kepler-956,Kepler-956,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.13,0.127,,,113.2,113.17,114.1,114.09,,,,,,,,,Kepler-956.xml,
Kepler-957,Kepler-957,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.177,0.18,0.184,,,58.9,58.85,47.5,47.52,,,,,,,,,Kepler-957.xml,
Kepler-958,Kepler-958,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.109,0.10,0.105,,,54.0,54.04,57.8,57.75,,,,,,,,,Kepler-958.xml,
Kepler-959,Kepler-959,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.154,0.14,0.141,,,159.5,159.47,193.3,193.26,,,,,,,,,Kepler-959.xml,
Kepler-96,Kepler-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.57,10.297,0.04,,0.04,,Kepler-96.xml,
Kepler-960,Kepler-960,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,0.16,0.157,,,40.5,40.53,41.3,41.26,,,,,,,,,Kepler-960.xml,
Kepler-961,Kepler-961,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.106,0.11,0.108,,,55.8,55.83,53.7,53.72,,,,,,,,,Kepler-961.xml,
Kepler-962,Kepler-962,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.103,,,,,55.2,55.18,72.8,72.81,,,,,,,,,Kepler-962.xml,
Kepler-963,Kepler-963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.8,150.82,,,,,,,,,,,Kepler-963.xml,
Kepler-964,Kepler-964,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.103,0.10,0.103,,,75.2,75.15,78.2,78.18,,,,,,,,,Kepler-964.xml,
Kepler-965,Kepler-965,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.095,0.09,0.092,,,64.8,64.81,79.4,79.36,,,,,,,,,Kepler-965.xml,
Kepler-966,Kepler-966,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.157,0.13,0.132,,,184.0,184.03,113.7,113.67,,,,,,,,,Kepler-966.xml,
Kepler-967,Kepler-967,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.108,,,,,,,,,,,,,,,Kepler-967.xml,
Kepler-968,Kepler-968,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.211,0.13,0.133,,,38.9,38.88,37.1,37.07,,,,,,,,,Kepler-968.xml,
Kepler-969,Kepler-969,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.048,0.05,0.051,,,40.7,40.68,44.6,44.63,,,,,,,,,Kepler-969.xml,
Kepler-970,Kepler-970,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.176,0.16,0.161,,,70.6,70.59,70.7,70.69,,,,,,,,,Kepler-970.xml,
Kepler-971,Kepler-971,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.177,0.16,0.157,,,112.5,112.52,,,,,,,,,,,Kepler-971.xml,
Kepler-972,Kepler-972,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,0.14,0.143,,,260.4,260.44,204.8,204.83,,,,,,,,,Kepler-972.xml,
Kepler-973,Kepler-973,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.096,0.11,0.113,,,62.8,62.75,65.9,65.87,,,,,,,,,Kepler-973.xml,
Kepler-974,Kepler-974,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.077,,,37.0,36.96,38.8,38.83,,,,,,,,,Kepler-974.xml,
Kepler-975,Kepler-975,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.168,0.15,0.147,,,,,90.7,90.72,,,,,,,,,Kepler-975.xml,
Kepler-976,Kepler-976,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.162,0.16,0.156,,,66.4,66.39,51.2,51.16,,,,,,,,,Kepler-976.xml,
Kepler-977,Kepler-977,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,0.15,0.153,,,105.2,105.24,84.5,84.55,,,,,,,,,Kepler-977.xml,
Kepler-978,Kepler-978,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.193,0.14,0.145,,,84.9,84.89,82.0,81.98,,,,,,,,,Kepler-978.xml,
Kepler-979,Kepler-979,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,0.15,0.147,,,136.8,136.81,205.1,205.13,,,,,,,,,Kepler-979.xml,
Kepler-980,Kepler-980,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.089,0.09,0.092,,,92.6,92.58,,,,,,,,,,,Kepler-980.xml,
Kepler-981,Kepler-981,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,0.15,0.146,,,82.9,82.87,78.2,78.23,,,,,,,,,Kepler-981.xml,
Kepler-982,Kepler-982,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.081,0.09,0.086,,,63.0,62.95,55.0,54.99,,,,,,,,,Kepler-982.xml,
Kepler-983,Kepler-983,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.081,0.07,0.072,,,47.7,47.66,51.0,50.95,,,,,,,,,Kepler-983.xml,
Kepler-984,Kepler-984,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.105,0.10,0.104,,,91.8,91.79,94.4,94.38,,,,,,,,,Kepler-984.xml,
Kepler-985,Kepler-985,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.111,0.10,0.098,,,61.8,61.79,75.0,75.03,,,,,,,,,Kepler-985.xml,
Kepler-986,Kepler-986,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.101,0.10,0.096,,,60.9,60.93,74.2,74.24,,,,,,,,,Kepler-986.xml,
Kepler-987,Kepler-987,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.102,0.10,0.104,,,61.0,60.98,69.8,69.85,,,,,,,,,Kepler-987.xml,
Kepler-988,Kepler-988,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.095,0.10,0.103,,,41.9,41.86,43.6,43.58,,,,,,,,,Kepler-988.xml,
Kepler-989,Kepler-989,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.15,0.149,,,53.6,53.62,52.7,52.66,,,,,,,,,Kepler-989.xml,
Kepler-990,Kepler-990,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.173,0.13,0.134,,,,,211.1,211.07,,,,,,,,,Kepler-990.xml,
Kepler-991,Kepler-991,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.121,0.10,0.099,,,44.8,44.76,55.2,55.21,,,,,,,,,Kepler-991.xml,
Kepler-992,Kepler-992,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.098,0.10,0.101,,,,,43.6,43.61,,,,,,,,,Kepler-992.xml,
Kepler-993,Kepler-993,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.094,,,,,46.2,46.25,50.2,50.16,,,,,,,,,Kepler-993.xml,
Kepler-994,Kepler-994,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.098,0.10,0.098,,,35.1,35.14,38.9,38.91,,,,,,,,,Kepler-994.xml,
Kepler-995,Kepler-995,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.148,,,74.7,74.71,110.9,110.94,,,,,,,,,Kepler-995.xml,
Kepler-996,Kepler-996,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.155,0.13,0.131,,,152.2,152.18,,,,,,,,,,,Kepler-996.xml,
Kepler-997,Kepler-997,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.077,0.08,0.081,,,55.0,54.96,62.6,62.57,,,,,,,,,Kepler-997.xml,
Kepler-998,Kepler-998,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.149,0.14,0.142,,,,,,,,,,,,,,,Kepler-998.xml,
Kepler-999,Kepler-999,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.068,0.09,0.091,,,85.9,85.91,104.5,104.45,,,,,,,,,Kepler-999.xml,
LkCa 15,LKCA 15,,,,0.03,,0.03,,,,,,,,0.002,,,,,,,,,,,,,,,5150.0,,,,,,k5v,,,,,,,,LkCa 15.xml,
MOA-2007-BLG-192-L,MOA-2007-BLG-192-L,,,,0.012,,0.012,,,,,,,,,,,,,,,,,,,,,,,3840.0,,,,,,m,,,,,,,,MOA-2007-BLG-192-L.xml,
MOA-2007-BLG-400-L,MOA-2007-BLG-400-L,,,,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,,,5700.0,,,,,,,,,,,,,,MOA-2007-BLG-400-L.xml,
MOA-2008-BLG-310-L,MOA-2008-BLG-310-L,,,,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,,,5700.0,,,,,,gv,,,,,,,,MOA-2008-BLG-310-L.xml,
MOA-2008-BLG-379L,MOA-2008-BLG-379L,0.56,0.66,0.27,0.3,0.24,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOA-2008-BLG-379L.xml,
MOA-2009-BLG-266L,MOA-2009-BLG-266L,,,,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,5700.0,,,,,,,,,,,,,,MOA-2009-BLG-266L.xml,
MOA-2009-BLG-319,MOA-2009-BLG-319,,,,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,,,5150.0,,,,,,k,,,,,,,,MOA-2009-BLG-319.xml,
MOA-2009-BLG-387L,MOA-2009-BLG-387L,,,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,3840.0,,,,,,m,,,,,,,,MOA-2009-BLG-387L.xml,
MOA-2010-BLG-328L,MOA-2010-BLG-328L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOA-2010-BLG-328L.xml,
MOA-2010-BLG-353L,MOA-2010-BLG-353L,0.16,0.18,0.09,0.11,0.28,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOA-2010-BLG-353L.xml,
MOA-2010-BLG-477L,MOA-2010-BLG-477L,,,,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,5150.0,,,,,,k,,,,,,,,MOA-2010-BLG-477L.xml,
MOA-2011-BLG-262L,MOA-2011-BLG-262L,,,0.06,0.19,0.19,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOA-2011-BLG-262L.xml,
MOA-2011-BLG-293L,MOA-2011-BLG-293L,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,5180.0,,,,,,g,,,,,,,,MOA-2011-BLG-293L.xml,
MOA-2011-BLG-322,MOA-2011-BLG-322,,,0.17,0.34,0.34,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,MOA-2011-BLG-322.xml,
MOA-2013-BLG-220L,MOA-2013-BLG-220L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOA-2013-BLG-220L.xml,
MOA-2013-BLG-605L,MOA-2013-BLG-605L,,,,,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOA-2013-BLG-605L.xml,
MOA-bin-1,MOA-bin-1,,,,0.33,,0.33,,,,,,,,,,,,,,,,,,,,,,,5700.0,,,,,,,,,,,,,,MOA-bin-1.xml,
NGC 2423 3,NGC 2423 3,,,,0.2,,0.2,,,,,,,,0.75,,,,,,,,,,,,0.09,,0.09,5700.0,,,,,,giv/v,,,,,,,,NGC 2423 3.xml,
NGC 4349 No 127,NGC 4349 No 127,,,,0.3,,0.3,,,,,,,,0.21,,,,,,,,,,,,,,,5700.0,,,,,,,,,,,,,,NGC 4349 No 127.xml,
NY Virginis A,NY Vir,0.46,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdb,,,,,,,,NY Virginis.xml,
OGLE-2007-BLG-368L,OGLE-2007-BLG-368L,,,,0.26,,0.26,,,,,,,,,,,,,,,,,,,,,,,5700.0,,,,,,,,,,,,,,OGLE-2007-BLG-368L.xml,
OGLE-2008-BLG-092L,OGLE-2008-BLG-092L,0.58,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGLE-2008-BLG-092L.xml,
OGLE-2008-BLG-355L,OGLE-2008-BLG-355L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGLE-2008-BLG-355L.xml,
OGLE-2011-BLG-0265L,OGLE-2011-BLG-0265L,0.23,0.211,0.07,0.068,0.07,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m3.5,,20.54,,,,,,OGLE-2011-BLG-0265L.xml,
OGLE-2012-BLG-0026L,OGLE-2012-BLG-0026L,1.06,0.82,0.05,0.13,0.05,0.13,,,,,,,,,,,,,4,,9,,,,,,,,,,,,,,,,20.66,,0.15,,0.15,,OGLE-2012-BLG-0026L.xml,
OGLE-2012-BLG-0358L,OGLE-2012-BLG-0358L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGLE-2012-BLG-0358L.xml,
OGLE-2012-BLG-0406L,OGLE-2012-BLG-0406L,0.59,0.44,0.17,0.07,0.17,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGLE-2012-BLG-0406L.xml,
OGLE-2013-BLG-0102LA,OGLE-2013-BLG-0102L,0.012,0.097,0.013,0.011,0.013,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,OGLE-2013-BLG-0102L.xml,
OGLE-2013-BLG-0341L B,OGLE-2013-BLG-0341L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGLE-2013-BLG-0341.xml,
OGLE-2015-BLG-0966L,OGLE-2015-BLG-0966L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGLE-2015-BLG-0966L.xml,
OGLE-TR-10,OGLE-TR-10,1.277,1.18,,0.04,,0.04,1.52,1.16,,0.06,,0.06,,1.1,,86.0,,86.0,,86.0,,86.0,,,,0.1,,0.1,,,,,,,g2v,,15.780,,,,,,OGLE-TR-10.xml,
OGLE-TR-111,OGLE-TR-111,,,,0.15,,0.15,,,,0.031,,0.031,,1.1,,nan,,inf,,nan,,inf,,,,0.28,,0.28,,,,400.0,,400.0,g,,16.96,,,,,,OGLE-TR-111.xml,
OGLE-TR-113,OGLE-TR-113,0.779,0.78,0.015,0.02,0.017,0.02,0.774,0.765,0.011,0.025,0.020,0.025,13.2,0.7,2.4,,0.8,,,,,,0.09,0.14,0.08,0.14,0.08,0.14,4790,4752.0,75,130.0,75,130.0,k,,16.08,,,,,,OGLE-TR-113.xml,
OGLE-TR-132,OGLE-TR-132,1.19,1.26,0.13,0.03,0.13,0.03,1.35,1.34,0.10,0.08,0.10,0.08,,,,,,,,,,,,,,0.07,,0.07,,,,59.0,,59.0,f,,,,,,,,OGLE-TR-132.xml,
OGLE-TR-182,OGLE-TR-182,,,,0.05,,0.05,,,,0.06,,0.06,,,,,,,,,,,,,,0.08,,0.08,,,,64.0,,64.0,,,,,,,,,OGLE-TR-182.xml,
OGLE-TR-211,OGLE-TR-211,,,,0.05,,0.05,,,,0.07,,0.07,,,,,,,,,,,,,,0.1,,0.1,,,,91.0,,91.0,,,,,,,,,OGLE-TR-211.xml,
OGLE-TR-56,OGLE-TR-56,,,,0.04,,0.04,,,,0.06,,0.06,,2.0,,nan,,inf,,nan,,inf,,,,,,,5940.0,,,,,,g,,,,,,,,OGLE-TR-56.xml,
OGLE2-TR-L9,OGLE2-TR-L9,,,,0.08,,0.08,,,,0.04,,0.04,,0.66,,,,,,,,,,,,0.2,,0.2,,,,58.0,,58.0,f3,,,,,,,,OGLE2-TR-L9.xml,
POTS-1,POTS-1,,,,,,,0.588,,0.028,,0.020,,,,,,,,,,,,,,,,,,,,,,,,k5v,,,,0.03,,0.03,,POTS-1.xml,
PSR B1620-26,PSR B1620-26,,,,,,,0.000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,pulsar,,,,,,,,PSR B1620-26.xml,
Pr0201,Pr 0201,,,,0.034,,0.034,,,,0.121,,0.121,,0.578,,0.049,,0.049,,0.049,,0.049,,,,0.038,,0.038,,,,50.0,,50.0,f7.5,,,,,,,,Pr0201.xml,
Pr0211,Pr 0211,,,,,,,,,,,,,,,,,,,,0.03,,0.03,0.18,,0.02,,0.02,,5300,,30,,30,,g9.3,,,,,,,,Pr0211.xml,
Qatar-1,Qatar-1,0.85,0.8,,0.05,,0.05,0.80,0.823,,0.025,,0.025,,,,nan,,inf,,nan,,inf,,,,0.1,,0.1,,,,100.0,,100.0,k,,,,,,,,Qatar-1.xml,
Qatar-2,Qatar-2,,,,0.037,,0.037,,,,0.018,,0.018,,,,,,,,,,,,0.0,,,,,,,,50.0,,50.0,k,,,,,,,,Qatar-2.xml,
ROXs 12,ROXs 12,,,,,,,,,,,,,,,0.0025,0.0041,0.0041,0.0025,,0.0041,,0.0025,,,,,,,,,70,100.0,100,70.0,m0,,,15.5,,,,,ROXs 12.xml,
11 Com, CO,2.7,,0.3,,0.3,0.6,19,,2,,2,,,,,m0d,,0.0068,,m0d,,0.0068,-0.35,5.0,0.09,5.0,0.09,,4742,0.0023,100,0.0034,100,2200.0,g8iii,,4.74,247.8125,,,,,11 Com.xml,
RR Cae A,RR Cae,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,7540,,,,,,daz8+dm,,,,,,,,RR Cae.xml,
SAND364,SAND364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k3iii,,9.77,9.8,,,,,SAND364.xml,
SWEEPS-11,SWEEPS-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.83,,,,,SWEEPS-11.xml,
TRAPPIST-1,TRAPPIST-1,,,,,,,0.114,0.117,0.006,0.004,0.006,0.004,,0.5,,,,,0.5,,,,0.04,,0.08,,0.08,,,,,,,,m8,,,,,,,,TRAPPIST-1.xml,
TrES-1,TrES-1,,,,0.07,,0.07,,,,0.05,,0.05,,2.5,,1.4,,1.4,,1.4,,1.4,,,,0.004,,0.004,5250,,200,,200,,k0v,,11.42,11.79,0.10,,0.10,,TrES-1.xml,
TrES-2 A,TrES-2,0.983,0.98,0.063,0.062,0.063,0.062,1.003,1.0,0.033,0.036,0.033,0.036,,5.1,,2.7,,2.7,,2.7,,2.7,0.001,-0.15,,0.1,,0.1,,,,,,,g0,,11.25,11.41,0.08,,0.08,,TrES-2.xml,
TrES-3,TrES-3,0.88,0.924,,0.04,,0.04,0.85,0.813,,0.027,,0.027,,,,,,,,,,,0.001,-0.19,,0.08,,0.08,,,,,,,k0v,,12.402,12.4,0.006,,0.006,,TrES-3.xml,
TrES-4 A,TrES-4,1.45,1.388,0.05,0.042,0.05,0.042,1.81,1.798,0.08,0.052,0.08,0.052,2.2,2.9,0.4,0.3,0.4,0.3,,0.3,,0.3,0.28,0.14,,,,,6295,6200.0,65,75.0,65,75.0,f8,,,,0.004,,0.004,,TrES-4.xml,
TrES-5,TrES-5,0.88,0.893,,0.024,,0.024,0.85,0.866,,0.013,,0.013,,,,1.87,,1.87,,1.87,,1.87,,,,0.08,,0.08,,,,36.0,,36.0,k0v,,13.58,13.72,0.26,,0.26,,TrES-5.xml,
UScoCTIO 108,UScoCTIO 108,,,0.019,0.02,0.019,0.02,,,,,,,,0.011,,0.002,,0.002,,0.002,,0.002,,,,,,,2700,2600.0,,,,,m7,,,,,,,,UScoCTIO 108.xml,
UZ For(ab),UZ For (AB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700.0,,,,,,catac.var.,,,,,,,,UZ For(ab).xml,
V391 Peg,V391 Peg,,,,0.05,,0.05,,,,0.03,,0.03,,10.0,,nan,,inf,,nan,,inf,,,,,,,,,,500.0,,500.0,sdb,,,,,,,,V391 Peg.xml,
