Primary planet name(from standardize_OEC_planet.csv),# name(from standardize_EU_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_EU_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),mass(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),radius(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),radius_error_min(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),radius_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),Radius [Rjup] lowerlimit(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),Radius [Rjup] upperlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),orbital_period(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),orbital_period_error_min(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),orbital_period_error_max(from standardize_EU_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),Orbital period [days] lowerlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),Orbital period [days] upperlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),eccentricity(from standardize_EU_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),eccentricity_error_min(from standardize_EU_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),eccentricity_error_max(from standardize_EU_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),Eccentricity lowerlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),Eccentricity upperlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),temp_calculated(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorminus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorplus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] lowerlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] upperlimit(from standardize_EU_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),detection_type(from standardize_EU_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),discovered(from standardize_EU_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),updated(from standardize_EU_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_EU_Catalogue_Data.csv)
Kepler-986 b,Kepler-986 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-986.xml,
Kepler-987 b,Kepler-987 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-987.xml,
Kepler-988 b,Kepler-988 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-988.xml,
Kepler-989 b,Kepler-989 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-989.xml,
Kepler-990 b,Kepler-990 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-990.xml,
Kepler-990 c,Kepler-990 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-990.xml,
Kepler-991 b,Kepler-991 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-991.xml,
Kepler-992 b,Kepler-992 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-992.xml,
Kepler-993 b,Kepler-993 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-993.xml,
Kepler-994 b,Kepler-994 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-994.xml,
Kepler-995 b,Kepler-995 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-995.xml,
Kepler-996 b,Kepler-996 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-996.xml,
Kepler-997 b,Kepler-997 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-997.xml,
Kepler-998 b,Kepler-998 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-998.xml,
Kepler-999 b,Kepler-999 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-999.xml,
LkCa 15 b,LKCA 15 b,confirmedplanets,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/10/19,2015-09-09,LkCa 15.xml,
MOA-2007-BLG-192-L b,MOA-2007-BLG-192-L b,confirmedplanets,,,,,0.005,,0.015,,0.005,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/04/06,2010-09-29,MOA-2007-BLG-192-L.xml,
MOA-2007-BLG-400-L b,MOA-2007-BLG-400-L b,confirmedplanets,,,,,0.4,,0.4,,0.4,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6,,,,,,,,,,,,,,10/12/06,2010-12-06,MOA-2007-BLG-400-L.xml,
MOA-2008-BLG-310-L b,MOA-2008-BLG-310-L b,confirmedplanets,,,,,0.05,,0.05,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.7,,,,,,,,,,,,,,09/08/10,2009-08-10,MOA-2008-BLG-310-L.xml,
MOA-2008-BLG-379L b,MOA-2008-BLG-379L b,confirmedplanets,,,,,,,,,1.9,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/04/18,2014-05-23,MOA-2008-BLG-379L.xml,
MOA-2009-BLG-266L b,MOA-2009-BLG-266L b,confirmedplanets,,,,,0.005,,0.005,,0.005,,0.005,,,,,,,,,,,,,,500.0,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/06/14,2011-06-14,MOA-2009-BLG-266L.xml,
MOA-2009-BLG-319 b,MOA-2009-BLG-319 b,confirmedplanets,,,,,0.075,,0.138,,0.075,,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/10/12,2010-10-12,MOA-2009-BLG-319.xml,
MOA-2009-BLG-387L b,MOA-2009-BLG-387L b,confirmedplanets,,,,,1.6,,4.1,,1.6,,4.1,,,,,,,,,,,1972.3,1970.0,,1.6,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/02/04,2014-05-26,MOA-2009-BLG-387L.xml,
MOA-2010-BLG-328L b,MOA-2010-BLG-328L b,confirmedplanets,,0.028940,0.029,0.006921,0.007,0.006921,0.007,,0.007,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/09/30,2013-10-02,MOA-2010-BLG-328L.xml,
MOA-2010-BLG-353L b,MOA-2010-BLG-353L b,confirmedplanets,,0.23,0.27,0.13,0.16,0.42,0.48,,0.16,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/12/11,2015-10-16,MOA-2010-BLG-353L.xml,
MOA-2010-BLG-477L b,MOA-2010-BLG-477L b,confirmedplanets,,,,,0.3,,0.8,,0.3,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.7,,,,,,,,,,,,,,12/06/02,2014-05-23,MOA-2010-BLG-477L.xml,
MOA-2011-BLG-028L b,MOA-2011-BLG-028L b,confirmedplanets,,,,,,,,,0.038,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/12/11,2015-12-11,MOA-2011-BLG-028L.xml,
MOA-2011-BLG-262Lb,MOA-2011-BLG-262L b,confirmedplanets,,0.057,0.0566340496492,0.031,0.0314633609162131,0.088,0.0880974105653966,,0.0314633609162131,,0.0880974105653966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/04/20,2014-05-22,MOA-2011-BLG-262L.xml,
MOA-2011-BLG-293L b,MOA-2011-BLG-293L b,confirmedplanets,,,,,,,,,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.1,,,,,,,,,,,,,,13/10/15,2013-10-15,MOA-2011-BLG-293L.xml,
MOA-2013-BLG-220L b,MOA-2013-BLG-220L b,confirmedplanets,,0.188780165497,0.188780165497278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/03/23,2014-03-11,MOA-2013-BLG-220L.xml,
MOA-2013-BLG-605L b,MOA-2013-BLG-605L b,confirmedplanets,,,,0.022,0.02,0.019,0.02,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/12/11,2015-12-02,MOA-2013-BLG-605L.xml,
MOA-bin-1 b,MOA-bin-1 b,confirmedplanets,,,,,2.1,,2.1,,2.1,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/03/22,2012-03-22,MOA-bin-1.xml,
NGC 2423 3 b,NGC 2423 3 b,confirmedplanets|planetsinopenclusters,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,5.3,,,,,,,,0.07,,0.07,,,,,417.4,,,,,,,,,,rv,radialvelocity,,,07/11/27,2007-11-27,NGC 2423 3.xml,
NGC 4349 No 127 b,NGC 4349 No 127 b,confirmedplanets|planetsinopenclusters,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,6.2,,,,,,,,0.07,,0.07,,,,,599.9,,,,,,,,,,rv,radialvelocity,,,07/11/27,2007-11-27,NGC 4349 No 127.xml,
NN Ser (AB) c,NN Ser (AB) c,confirmedplanets|planetsinbinarysystems|p-type,,6.96,6.91,0.12,0.54,0.12,0.54,,0.54,,0.54,,,,,,,,,,,5654.6797,5660.0,9.86,165.0,9.86,165.0,,,,,0.142,0.0,0.011,,0.011,,,,,,,,,,,,,,,,timing,pulsar,,,13/06/20,2016-02-23,NN Ser.xml,
NN Ser (AB) d,NN Ser (AB) d,confirmedplanets|planetsinbinarysystems|p-type,,1.74,2.28,0.09,0.38,0.09,0.38,,0.38,,0.38,,,,,,,,,,,2793.0,2830.0,21.184,130.0,21.184,130.0,,,,,0.223,0.2,0.019,0.02,0.019,0.02,,,,,,,,,,,,,,,timing,pulsar,,,13/06/20,2016-02-26,NN Ser.xml,
NY Virginis (AB) b,NY Vir b,confirmedplanets|planetsinbinarysystems|p-type,,2.3,2.78,,,,,,,,,,,,,,,,,,,2900,2987.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timing,pulsar,,,12/12/08,2014-11-20,NY Virginis.xml,
OGLE-2007-BLG-368L b,OGLE-2007-BLG-368L b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/12/08,2009-12-08,OGLE-2007-BLG-368L.xml,
OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L b,confirmedplanets|planetsinbinarysystems|s-type,,0.12347045,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/09/04,2014-08-27,OGLE-2008-BLG-092L.xml,
OGLE-2008-BLG-355L b,OGLE-2008-BLG-355L b,confirmedplanets,,,,,,,,,2.2,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,2014,14/03/31,2016-01-13,OGLE-2008-BLG-355L.xml,
OGLE-2011-BLG-0265L b,OGLE-2011-BLG-0265L b,confirmedplanets,,1.0,0.88,0.3,0.18,0.3,0.27,,0.18,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,2015,14/11/30,2015-07-27,OGLE-2011-BLG-0265L.xml,
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L b,confirmedplanets,,0.145,0.11,0.008,0.002,0.008,0.002,,0.002,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/21,2013-01-30,OGLE-2012-BLG-0026L.xml,
OGLE-2012-BLG-0026L c,OGLE-2012-BLG-0026L c,confirmedplanets,,0.86,0.68,0.06,0.1,0.06,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/01/21,2013-01-29,OGLE-2012-BLG-0026L.xml,
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L b,confirmedplanets,,,,,,,,,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/07/25,2013-08-14,OGLE-2012-BLG-0358L.xml,
OGLE-2012-BLG-0406L b,OGLE-2012-BLG-0406L b,confirmedplanets,,3.9,2.73,1.2,0.43,1.2,0.43,,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/07/22,2013-10-11,OGLE-2012-BLG-0406L.xml,
OGLE-2013-BLG-0102LB,OGLE-2013-BLG-0102L b,controversial,,13,13.6,2,3.0,2,3.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/06/10,2014-08-28,OGLE-2013-BLG-0102L.xml,
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L b,confirmedplanets|planetsinbinarysystems|s-type,,0.005222,0.00522291791209,0.000566,0.000566340496491835,0.000566,0.000566340496491835,,0.000566340496491835,,0.000566340496491835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/07/04,2014-07-04,OGLE-2013-BLG-0341.xml,
OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L b,confirmedplanets,,,,,,,,,0.006,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/09/17,2016-02-26,OGLE-2015-BLG-0966L.xml,
OGLE-TR-10 b,OGLE-TR-10 b,confirmedplanets,,,,,,,,,0.15,,0.15,,,,,,,,,,,,,,1e-05,,1e-05,,,,,,,,,,,,,,,1702,,54,,54,,,,,,transit,primarytransit,,,10/06/24,2014-08-16,OGLE-TR-10.xml,
OGLE-TR-111 b,OGLE-TR-111 b,confirmedplanets,,,,,0.1,,0.1,,0.1,,0.1,,,,0.075,,0.075,,,,,,,,4.1e-06,,4.1e-06,,,,,,,,,,,,,,,940.0,,,,,,,,,,transit,primarytransit,,,10/12/14,2016-02-26,OGLE-TR-111.xml,
OGLE-TR-113 b,OGLE-TR-113 b,confirmedplanets,,1.26,1.24,0.16,0.17,0.16,0.17,,0.17,,0.17,1.051,1.11,0.052,0.05,0.057,0.05,,,,,1.43247506,1.4324772,0.00000014,1.2e-06,0.00000014,1.2e-06,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/11/16,2016-02-26,OGLE-TR-113.xml,
OGLE-TR-132 b,OGLE-TR-132 b,confirmedplanets,,,,,0.14,,0.14,,0.14,,0.14,1.227,1.23,0.074,0.07,0.074,0.07,,,,,,,,3e-06,,3e-06,,,,,,,,,,,,,,,1812.0,,,,,,,,,,transit,primarytransit,,,10/12/16,2010-12-16,OGLE-TR-132.xml,
OGLE-TR-182 b,OGLE-TR-182 b,confirmedplanets,,,,,0.15,,0.15,,0.15,,0.15,,,,0.14,,0.14,,,,,,,,1e-05,,1e-05,,,,,,,,,,,,,,,1235.0,,,,,,,,,,transit,primarytransit,,,10/06/24,2010-06-24,OGLE-TR-182.xml,
OGLE-TR-211 b,OGLE-TR-211 b,confirmedplanets,,,,,0.15,,0.15,,0.15,,0.15,,,,0.09,,0.09,,,,,,,,3e-05,,3e-05,,,,,,,,,,,,,,,1581.5,,,,,,,,,,transit,primarytransit,,,10/06/24,2010-06-24,OGLE-TR-211.xml,
OGLE-TR-56 b,OGLE-TR-56 b,confirmedplanets,,,,,0.08,,0.08,,0.08,,0.08,,,,0.17,,0.17,,,,,,,,1e-06,,1e-06,,,,,,,,,,,,,,,1390.3,,,,,,,,,,transit,primarytransit,,,10/06/24,2014-08-16,OGLE-TR-56.xml,
OGLE2-TR-L9 b,OGLE2-TR-L9 b,confirmedplanets,,,,,1.48,,1.48,,1.48,,1.48,,,,0.083,,0.083,,,,,,,,7e-07,,7e-07,,,,,,,,,,,,,,,2154.6,,,,,,,,,,transit,primarytransit,,,10/12/06,2010-12-06,OGLE2-TR-L9.xml,
POTS-1 b,POTS-1 b,confirmedplanets,,,,,,,,,0.77,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,13/09/01,2014-05-28,POTS-1.xml,
PSR 1257+12 C,PSR 1257 12 d,confirmedplanets,,0.0123,0.012,,,,,,0.0006,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timing,pulsar,,,16/04/12,2014-02-25,PSR 1257+12.xml,
PSR B1620-26 b,PSR B1620-26 b,confirmedplanets|planetsinbinarysystems|p-type|planetsinglobularclusters,,1.7,2.5,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,24837,36525.0,,0.0,,0.0,,,,,0.13,,,,,,,,,,,,,,,,,,,,timing,pulsar,1994,2003,16/04/12,2013-07-11,PSR B1620-26.xml,
Pr0201 b,Pr 0201 b,confirmedplanets|planetsinopenclusters,,,,,0.039,,0.039,,0.039,,0.039,,,,,,,,,,,,,,0.007,,0.007,,,,,0,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,12/09/14,2016-03-31,Pr0201.xml,
Pr0211 b,Pr 0211 b,confirmedplanets|planetsinopenclusters,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,16/03/03,2016-03-31,Pr0211.xml,
Pr0211 c,Pr 0211 c,confirmedplanets|planetsinopenclusters,,,,,,,,,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,16/03/03,2016-03-30,Pr0211.xml,
Qatar-1 b,Qatar-1 b,confirmedplanets,,,,,0.05,,0.05,,0.05,,0.05,1.164,1.18,,0.09,,0.09,,,,,,,,7.1e-07,,7.1e-07,,,,,,,,,,,,,,,1389,,,,,,,,,,transit,primarytransit,,,13/04/02,2016-08-23,Qatar-1.xml,
Qatar-2 b,Qatar-2 b,confirmedplanets,,,,,0.086,,0.086,,0.086,,0.086,,,,0.035,,0.035,,,,,,,,3.7e-06,,3.7e-06,,,,,,,,,,,,,,,1179.7,,,,,,,,,,transit,primarytransit,,,11/10/28,2011-10-28,Qatar-2.xml,
ROXs 12 b,ROXs 12 b,confirmedplanets,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/12/02,2013-12-02,ROXs 12.xml,
ROXs 42 B b,ROXs 42B b,confirmedplanets|planetsinbinarysystems|p-type,,10,9.0,4,3.0,4,3.0,,3.0,,3.0,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/12/02,2015-04-02,ROXs 42 B.xml,
RR Cae (AB) b,RR Cae b,confirmedplanets|planetsinbinarysystems|p-type,,,,,0.4,,0.4,,0.4,,0.4,,,,,,,,,,,,,,37.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,timing,pulsar,,,12/12/08,2012-01-23,RR Cae.xml,
SAND364 b,SAND364 b,confirmedplanets|planetsinopenclusters,,,,,,,,,0.24,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,14/01/14,2014-01-15,SAND364.xml,
SWEEPS-4,SWEEPS-04 ,confirmedplanets,,,3.8,,inf,,nan,,inf,3.8,nan,,,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/05/23,2007-11-26,SWEEPS-4.xml,
SWEEPS-11,SWEEPS-11 ,confirmedplanets,,,,,,,,,5.6,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/05/23,2007-11-26,SWEEPS-11.xml,
TRAPPIST-1b,TRAPPIST-1 b,confirmedplanets,,,,,,,,,,,,0.101428,0.0993,0.004010,0.0039,0.004010,0.0039,,,,,,,,,,,,,,,,0.0,,,,,,,,,400,350.0,9,,9,,,,,,transit,primarytransit,,,16/05/01,2016-05-03,TRAPPIST-1.xml,
TRAPPIST-1c,TRAPPIST-1 c,confirmedplanets,,,,,,,,,,,,0.095596,0.09359,0.004557,0.0045,0.004557,0.0045,,,,,,,,,,,,,,,,0.0,,,,,,,,,342,290.0,8,,8,,,,,,transit,primarytransit,,,16/05/01,2016-05-03,TRAPPIST-1.xml,
TRAPPIST-1d,TRAPPIST-1 d,confirmedplanets,,,,,,,,,,,,0.105985,0.1042,0.005923,0.0061,0.005923,0.0061,,,,,,,,14.0,,54.0,,,,,,0.0,,,,,,,,,200,180.0,,,,,,,,,transit,primarytransit,,,16/05/01,2016-05-03,TRAPPIST-1.xml,
TrES-1 b,TrES-1 ,confirmedplanets,,,,,0.05,,0.05,,0.05,,0.05,,,,0.035,,0.035,,,,,,,,2e-07,,2e-07,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,11/02/09,2013-05-31,TrES-1.xml,
TrES-2,TrES-2 ,confirmedplanets|planetsinbinarysystems|s-type,,,,,0.052,,0.052,,0.052,,0.052,1.169,1.189,,0.025,,0.025,,,,,2.470613402,2.4706133738,,1.87e-08,,1.87e-08,,,,,,,,,,,,,,,,1455.0,,,,,,,,,transit,primarytransit,,,13/01/27,2014-09-01,TrES-2.xml,
TrES-3 b,TrES-3 ,confirmedplanets,,,,,0.07,,0.06,,0.07,,0.06,,,,0.09,,0.09,,,,,,,,3.8e-07,,3.8e-07,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,10/12/13,2014-05-22,TrES-3.xml,
TrES-4 A b,TrES-4 ,confirmedplanets|planetsinbinarysystems|s-type,,0.494,0.917,0.035,0.07,0.035,0.07,,0.07,,0.07,1.838,1.706,0.090,0.056,0.081,0.056,,,,,3.55392771,3.5539268,0.00000047,3.2e-06,0.00000047,3.2e-06,,,,,,0.0,,,,,,,0.016,,1795,,39,,35,,,,,,transit,primarytransit,,,15/06/08,2012-12-28,TrES-4.xml,
TrES-5 b,TrES-5 ,confirmedplanets,,,,,0.063,,0.063,,0.063,,0.063,,,,0.021,,0.021,,,,,,,,7e-07,,7e-07,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,11/09/05,2011-09-05,TrES-5.xml,
UScoCTIO 108 b,UScoCTIO 108 b,confirmedplanets,,,,,,,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,,400,,100,,,,,,,,,,11/12/14,2014-05-26,UScoCTIO 108.xml,
UZ For(ab) d,UZ For (AB) d,confirmedplanets,,,,,1.2,,1.2,,1.2,,1.2,,,,,,,,,,,,,,90.0,,90.0,,,,,,,,0.05,,0.05,,,,,127.9,,,,,,,,,,timing,pulsar,,,11/06/08,2016-02-23,UZ For(ab).xml,
V391 Peg b,V391 Peg b,confirmedplanets,,,,,0.7,,0.7,,0.7,,0.7,,,,,,,,,,,,,,44.0,,44.0,,,,,,,,,,,,,,,475.2,,,,,,,,,,timing,pulsar,,,07/09/14,2014-08-22,V391 Peg.xml,
V830 Tau b,V830 Tau b,controversial,,1.4,0.77,,0.15,,0.15,,0.15,,0.15,,,,,,,,,,,6.0,4.93,0.2,0.05,0.2,0.05,,,,,,0.0,,,,,,,,,,,,,,,,,,,rv,radialvelocity,2015,2016,15/10/02,2016-08-03,V830 Tau.xml,
VHS 1256-1257 b,VHS 1256-1257 b,confirmedplanets,,,,,,,,,1.8,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,110,,140,,,,,,,,,,15/07/23,2016-07-25,VHS 1256-1257.xml,
WASP-1 b,WASP-1 b,confirmedplanets|planetsinbinarysystems|s-type,,0.854,0.86,0.052,0.07,0.057,0.07,,0.07,,0.07,1.483,1.484,0.034,0.09,0.024,0.09,,,,,,,,8e-07,,8e-07,,,,,,,,,,,,,,,1644.3,,,,,,,,,,transit,primarytransit,,,14/03/05,2013-05-31,WASP-1.xml,
WASP-10 b,WASP-10 b,confirmedplanets,,3.06,3.16,,0.23,,0.23,,0.23,,0.23,,,,0.02,,0.02,,,,,,,,1.82e-05,,1.82e-05,,,,,,,,0.005,,0.005,,,,,946.8,,,,,,,,,,transit,primarytransit,,,08/12/02,2014-05-30,WASP-10.xml,
WASP-100 b,WASP-100 b,confirmedplanets,,,,,,,,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.1,,,,140,,140,,,,,,transit,primarytransit,,,13/10/22,2014-05-28,WASP-100.xml,
WASP-101 b,WASP-101 b,confirmedplanets,,,,0.04,0.004,0.04,0.004,,0.004,,0.004,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.03,,,,35,,35,,,,,,transit,primarytransit,,,13/10/22,2013-10-22,WASP-101.xml,
