Primary system name(from OEC_system.csv),star_name(from standardize_EU_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),Right ascension(from standardize_EU_Catalogue_System_Data.csv),Declination(from OEC_system.csv),Declination(from standardize_EU_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),star_distance(from standardize_EU_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),star_distance_error_min(from standardize_EU_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),star_distance_error_max(from standardize_EU_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from standardize_EU_Catalogue_System_Data.csv)
Kepler-465,Kepler-465,18 58 13,,+46 03 50,,,587.0,,,,,Kepler-465.xml,
Kepler-466,Kepler-466,19 42 36,,+48 29 44,,,436.0,,,,,Kepler-466.xml,
Kepler-467,Kepler-467,19 09 27,,+38 38 59,,,458.0,,,,,Kepler-467.xml,
Kepler-468,Kepler-468,19 15 37,,+49 22 14,,,474.0,,,,,Kepler-468.xml,
Kepler-469,Kepler-469,19 49 54,,+41 06 51,,,714.0,,,,,Kepler-469.xml,
Kepler-470,Kepler-470,19 48 02,,+50 22 20,,,989.0,,,,,Kepler-470.xml,
Kepler-471,Kepler-471,19 56 23,,+43 29 51,,,1373.0,,,,,Kepler-471.xml,
Kepler-472,Kepler-472,19 46 06,,+39 14 59,,,302.0,,,,,Kepler-472.xml,
Kepler-473,Kepler-473,19 06 31,,+38 56 44,,,641.0,,,,,Kepler-473.xml,
Kepler-474,Kepler-474,19 29 17,,+43 52 52,,,568.0,,,,,Kepler-474.xml,
Kepler-475,Kepler-475,19 08 12,,+40 12 42,,,280.0,,,,,Kepler-475.xml,
Kepler-476,Kepler-476,19 40 39,,+43 57 47,,,687.0,,,,,Kepler-476.xml,
Kepler-477,Kepler-477,19 12 16,,+42 21 19,,,367.0,,,,,Kepler-477.xml,
Kepler-478,Kepler-478,19 29 57,,+46 11 46,,,420.0,,,,,Kepler-478.xml,
Kepler-479,Kepler-479,19 24 05,,+37 46 11,,,371.0,,,,,Kepler-479.xml,
Kepler-48,Kepler-48,19 56 33,,+40 56 56,,313.14,,,,,,Kepler-48.xml,
Kepler-480,Kepler-480,19 37 51,,+49 45 54,,,806.0,,,,,Kepler-480.xml,
Kepler-481,Kepler-481,19 27 38,,+49 15 43,,,713.0,,,,,Kepler-481.xml,
Kepler-482,Kepler-482,19 47 17,,+48 06 27,,,290.0,,,,,Kepler-482.xml,
Kepler-483,Kepler-483,19 26 35,,+41 53 05,,,953.0,,,,,Kepler-483.xml,
Kepler-484,Kepler-484,18 57 35,,+46 14 57,,,377.0,,,,,Kepler-484.xml,
Kepler-485,Kepler-485,19 39 59,,+50 28 12,,,1173.0,,,,,Kepler-485.xml,
Kepler-486,Kepler-486,18 59 31,,+49 16 01,,,428.0,,,,,Kepler-486.xml,
Kepler-487,Kepler-487,19 41 09,,+41 13 19,,,835.0,,,,,Kepler-487.xml,
Kepler-488,Kepler-488,18 51 52,,+48 20 42,,,1157.0,,,,,Kepler-488.xml,
Kepler-489,Kepler-489,19 23 20,,+38 11 04,,,379.0,,,,,Kepler-489.xml,
Kepler-49,Kepler-49,19 29 10,,+40 35 30,,385.34,,,,,,Kepler-49.xml,
Kepler-490,Kepler-490,19 40 06,,+46 57 22,,,1249.0,,,,,Kepler-490.xml,
Kepler-491,Kepler-491,19 08 31,,+42 21 01,,,657.0,,,,,Kepler-491.xml,
Kepler-492,Kepler-492,19 41 59,,+42 32 16,,,642.0,,,,,Kepler-492.xml,
Kepler-493,Kepler-493,19 41 14,,+38 52 54,,,1942.0,,,,,Kepler-493.xml,
Kepler-494,Kepler-494,19 48 51,,+41 39 51,,,862.0,,,,,Kepler-494.xml,
Kepler-495,Kepler-495,19 03 43,,+39 05 53,,,630.0,,,,,Kepler-495.xml,
Kepler-496,Kepler-496,19 26 34,,+41 14 28,,,655.0,,,,,Kepler-496.xml,
Kepler-497,Kepler-497,19 23 04,,+38 55 41,,,1070.0,,,,,Kepler-497.xml,
Kepler-498,Kepler-498,19 21 26,,+44 31 08,,,746.0,,,,,Kepler-498.xml,
Kepler-499,Kepler-499,19 40 26,,+43 54 55,,,523.0,,,,,Kepler-499.xml,
Kepler-5,Kepler-5,19 57 38,,+44 02 06,,,,,,,,Kepler-5.xml,
Kepler-50,Kepler-50,19 12 24,,+50 02 01,,269.79,,,,,,Kepler-50.xml,
Kepler-500,Kepler-500,19 43 48,,+43 51 07,,,747.0,,,,,Kepler-500.xml,
Kepler-501,Kepler-501,19 48 48,,+41 43 49,,,1044.0,,,,,Kepler-501.xml,
Kepler-502,Kepler-502,19 24 19,,+43 51 37,,,1433.0,,,,,Kepler-502.xml,
Kepler-503,Kepler-503,19 22 33,,+38 42 28,,,888.0,,,,,Kepler-503.xml,
Kepler-504,Kepler-504,18 59 41,,+45 58 21,,,75.0,,,,,Kepler-504.xml,
Kepler-505,Kepler-505,19 11 26,,+42 32 33,,,222.0,,,,,Kepler-505.xml,
Kepler-506,Kepler-506,18 58 32,,+40 43 11,,,231.0,,,,,Kepler-506.xml,
Kepler-507,Kepler-507,19 48 05,,+50 24 32,,,410.0,,,,,Kepler-507.xml,
Kepler-508,Kepler-508,19 41 37,,+42 58 53,,,325.0,,,,,Kepler-508.xml,
Kepler-509,Kepler-509,19 18 39,,+48 42 22,,,339.0,,,,,Kepler-509.xml,
Kepler-510,Kepler-510,19 10 37,,+39 14 39,,,378.0,,,,,Kepler-510.xml,
Kepler-511,Kepler-511,18 51 47,,+47 34 30,,,448.0,,,,,Kepler-511.xml,
Kepler-512,Kepler-512,19 53 05,,+48 55 00,,,531.0,,,,,Kepler-512.xml,
Kepler-513,Kepler-513,19 00 10,,+50 04 31,,,467.0,,,,,Kepler-513.xml,
Kepler-514,Kepler-514,19 04 59,,+50 14 33,,,489.0,,,,,Kepler-514.xml,
Kepler-515,Kepler-515,19 21 59,,+52 03 20,,,255.0,,,,,Kepler-515.xml,
Kepler-516,Kepler-516,19 42 26,,+38 44 09,,,777.0,,,,,Kepler-516.xml,
Kepler-517,Kepler-517,19 34 42,,+41 17 43,,,284.0,,,,,Kepler-517.xml,
Kepler-518,Kepler-518,19 08 22,,+41 22 26,,,324.0,,,,,Kepler-518.xml,
Kepler-519,Kepler-519,19 57 17,,+41 23 05,,,234.0,,,,,Kepler-519.xml,
Kepler-52,Kepler-52,19 06 57,,+49 58 32,,356.41,,,,,,Kepler-52.xml,
Kepler-520,Kepler-520,19 32 43,,+41 37 04,,,492.0,,,,,Kepler-520.xml,
Kepler-521,Kepler-521,19 55 16,,+43 59 53,,,737.0,,,,,Kepler-521.xml,
Kepler-522,Kepler-522,19 12 37,,+44 04 08,,,749.0,,,,,Kepler-522.xml,
Kepler-523,Kepler-523,18 56 15,,+45 30 25,,,270.0,,,,,Kepler-523.xml,
Kepler-524,Kepler-524,19 47 26,,+49 09 43,,,730.0,,,,,Kepler-524.xml,
Kepler-525,Kepler-525,19 44 44,,+47 21 32,,,566.0,,,,,Kepler-525.xml,
Kepler-526,Kepler-526,19 50 36,,+47 23 47,,,504.0,,,,,Kepler-526.xml,
Kepler-527,Kepler-527,19 23 50,,+47 24 23,,,901.0,,,,,Kepler-527.xml,
Kepler-528,Kepler-528,19 42 44,,+47 44 53,,,711.0,,,,,Kepler-528.xml,
Kepler-529,Kepler-529,19 03 33,,+47 52 49,,,787.0,,,,,Kepler-529.xml,
Kepler-53,Kepler-53,19 21 50,,+40 33 44,,1430.64,,,,,,Kepler-53.xml,
Kepler-530,Kepler-530,18 53 22,,+48 32 57,,,464.0,,,,,Kepler-530.xml,
Kepler-531,Kepler-531,19 06 06,,+48 41 01,,,254.0,,,,,Kepler-531.xml,
Kepler-532,Kepler-532,19 54 39,,+48 36 23,,,325.0,,,,,Kepler-532.xml,
Kepler-533,Kepler-533,19 34 45,,+48 49 31,,,305.0,,,,,Kepler-533.xml,
Kepler-534,Kepler-534,19 45 40,,+49 32 24,,,473.0,,,,,Kepler-534.xml,
Kepler-535,Kepler-535,19 46 16,,+49 41 47,,,678.0,,,,,Kepler-535.xml,
Kepler-536,Kepler-536,19 50 57,,+49 38 14,,,446.0,,,,,Kepler-536.xml,
Kepler-537,Kepler-537,19 19 31,,+51 16 37,,,465.0,,,,,Kepler-537.xml,
Kepler-538,Kepler-538,19 49 57,,+49 37 24,,,165.0,,,,,Kepler-538.xml,
Kepler-539,Kepler-539,19 56 29,,+41 52 00,,,,,,,,Kepler-539.xml,
Kepler-54,Kepler-54,19 39 05,,+43 03 22,,499.51,,,,,,Kepler-54.xml,
Kepler-540,Kepler-540,19 22 30,,+44 52 26,,,350.0,,,,,Kepler-540.xml,
Kepler-541,Kepler-541,19 36 36,,+38 27 30,,,1020.0,,,,,Kepler-541.xml,
Kepler-542,Kepler-542,19 28 52,,+38 32 55,,,439.0,,,,,Kepler-542.xml,
Kepler-543,Kepler-543,19 08 52,,+38 51 45,,,212.0,,,,,Kepler-543.xml,
Kepler-544,Kepler-544,19 36 07,,+39 03 07,,,797.0,,,,,Kepler-544.xml,
Kepler-545,Kepler-545,19 22 16,,+40 41 31,,,831.0,,,,,Kepler-545.xml,
Kepler-546,Kepler-546,18 53 02,,+40 59 26,,,896.0,,,,,Kepler-546.xml,
Kepler-547,Kepler-547,19 04 28,,+44 20 43,,,361.0,,,,,Kepler-547.xml,
Kepler-548,Kepler-548,19 59 37,,+45 26 23,,,776.0,,,,,Kepler-548.xml,
Kepler-549,Kepler-549,18 52 05,,+47 15 40,,,648.0,,,,,Kepler-549.xml,
Kepler-55,Kepler-55,19 00 40,,+44 01 35,,610.01,,,,,,Kepler-55.xml,
Kepler-550,Kepler-550,19 50 48,,+47 51 50,,,563.0,,,,,Kepler-550.xml,
Kepler-551,Kepler-551,19 01 56,,+48 03 16,,,312.0,,,,,Kepler-551.xml,
Kepler-552,Kepler-552,19 22 59,,+48 14 31,,,834.0,,,,,Kepler-552.xml,
Kepler-553,Kepler-553,19 54 12,,+48 19 57,,,725.0,,,,,Kepler-553.xml,
Kepler-554,Kepler-554,19 45 38,,+51 21 29,,,642.0,,,,,Kepler-554.xml,
Kepler-555,Kepler-555,19 02 04,,+38 55 57,,,772.0,,,,,Kepler-555.xml,
Kepler-556,Kepler-556,19 22 07,,+38 56 34,,,729.0,,,,,Kepler-556.xml,
Kepler-557,Kepler-557,19 34 50,,+41 36 54,,,1126.0,,,,,Kepler-557.xml,
Kepler-558,Kepler-558,18 58 38,,+42 39 10,,,652.0,,,,,Kepler-558.xml,
Kepler-559,Kepler-559,19 46 33,,+43 48 10,,,793.0,,,,,Kepler-559.xml,
Kepler-56,Kepler-56,19 35 02.01,,+41 52 18.7,,,,,,,,Kepler-56.xml,
Kepler-560,Kepler-560,20 00 49,,+45 01 05,,,88.0,,,,,Kepler-560.xml,
Kepler-561,Kepler-561,19 34 59,,+45 06 26,,,667.0,,,,,Kepler-561.xml,
Kepler-562,Kepler-562,19 20 29,,+46 16 26,,,822.0,,,,,Kepler-562.xml,
Kepler-563,Kepler-563,19 29 47,,+46 17 23,,,557.0,,,,,Kepler-563.xml,
Kepler-564,Kepler-564,19 47 21,,+46 37 35,,,830.0,,,,,Kepler-564.xml,
Kepler-565,Kepler-565,18 54 28,,+47 11 48,,,1041.0,,,,,Kepler-565.xml,
Kepler-566,Kepler-566,19 26 13,,+47 48 52,,,628.0,,,,,Kepler-566.xml,
Kepler-567,Kepler-567,19 50 41,,+48 18 08,,,568.0,,,,,Kepler-567.xml,
Kepler-568,Kepler-568,19 52 25,,+48 24 04,,,126.0,,,,,Kepler-568.xml,
Kepler-569,Kepler-569,18 54 02,,+48 33 09,,,645.0,,,,,Kepler-569.xml,
Kepler-57,Kepler-57,19 34 33,,+44 39 25,,570.05,,,,,,Kepler-57.xml,
Kepler-570,Kepler-570,19 21 45,,+48 47 31,,,642.0,,,,,Kepler-570.xml,
Kepler-571,Kepler-571,19 06 12,,+49 25 07,,,756.0,,,,,Kepler-571.xml,
Kepler-572,Kepler-572,19 24 53,,+50 34 53,,,532.0,,,,,Kepler-572.xml,
Kepler-573,Kepler-573,19 18 05,,+51 14 14,,,758.0,,,,,Kepler-573.xml,
Kepler-574,Kepler-574,19 20 59,,+52 08 57,,,747.0,,,,,Kepler-574.xml,
Kepler-575,Kepler-575,19 07 51,,+37 49 47,,,852.0,,,,,Kepler-575.xml,
Kepler-576,Kepler-576,19 40 44,,+38 39 15,,,698.0,,,,,Kepler-576.xml,
Kepler-577,Kepler-577,19 38 51,,+39 04 26,,,549.0,,,,,Kepler-577.xml,
Kepler-578,Kepler-578,19 15 01,,+39 33 49,,,568.0,,,,,Kepler-578.xml,
Kepler-579,Kepler-579,19 40 00,,+39 57 11,,,663.0,,,,,Kepler-579.xml,
Kepler-58,Kepler-58,19 45 26,,+39 06 54,,1302.83,,,,,,Kepler-58.xml,
Kepler-580,Kepler-580,18 53 59.9,,+40 33 10,,,333.0,,,,,Kepler-580.xml,
Kepler-581,Kepler-581,19 41 44,,+40 38 54,,,833.0,,,,,Kepler-581.xml,
Kepler-582,Kepler-582,19 50 01,,+41 03 25,,,751.0,,,,,Kepler-582.xml,
Kepler-583,Kepler-583,18 48 27,,+42 21 16,,,805.0,,,,,Kepler-583.xml,
Kepler-584,Kepler-584,19 12 55,,+42 24 49,,,1445.0,,,,,Kepler-584.xml,
Kepler-585,Kepler-585,19 06 07,,+43 52 24,,,604.0,,,,,Kepler-585.xml,
Kepler-586,Kepler-586,19 32 14,,+45 33 04,,,707.0,,,,,Kepler-586.xml,
Kepler-587,Kepler-587,19 14 41,,+47 23 57,,,852.0,,,,,Kepler-587.xml,
Kepler-588,Kepler-588,18 57 02,,+47 41 20,,,972.0,,,,,Kepler-588.xml,
Kepler-589,Kepler-589,18 42 34,,+47 45 07,,,643.0,,,,,Kepler-589.xml,
Kepler-59,Kepler-59,19 08 09,,+46 38 24,,811.89,,,,,,Kepler-59.xml,
Kepler-590,Kepler-590,19 45 33,,+48 14 00,,,986.0,,,,,Kepler-590.xml,
Kepler-591,Kepler-591,19 04 06,,+48 25 54,,,793.0,,,,,Kepler-591.xml,
Kepler-592,Kepler-592,19 03 10,,+48 40 60,,,1034.0,,,,,Kepler-592.xml,
Kepler-593,Kepler-593,19 39 48,,+48 39 04,,,1016.0,,,,,Kepler-593.xml,
Kepler-594,Kepler-594,19 15 41,,+49 45 43,,,742.0,,,,,Kepler-594.xml,
Kepler-595,Kepler-595,19 38 17,,+50 40 23,,,639.0,,,,,Kepler-595.xml,
Kepler-596,Kepler-596,19 18 00,,+51 41 09,,,1083.0,,,,,Kepler-596.xml,
Kepler-597,Kepler-597,19 33 53,,+39 15 10,,,660.0,,,,,Kepler-597.xml,
Kepler-598,Kepler-598,19 32 30,,+40 56 05,,,686.0,,,,,Kepler-598.xml,
Kepler-599,Kepler-599,19 03 39,,+41 04 10,,,627.0,,,,,Kepler-599.xml,
Kepler-6,Kepler-6,19 47 21,,+48 14 24,,,,,,,,Kepler-6.xml,
Kepler-60,Kepler-60,19 15 50.698,,+42 15 54.04,,664.24,,,,,,Kepler-60.xml,
Kepler-600,Kepler-600,18 55 20,,+41 58 43,,,624.0,,,,,Kepler-600.xml,
Kepler-601,Kepler-601,18 48 01,,+42 10 36,,,429.0,,,,,Kepler-601.xml,
Kepler-602,Kepler-602,19 44 08,,+42 08 31,,,971.0,,,,,Kepler-602.xml,
Kepler-603,Kepler-603,19 37 07,,+42 17 27,,,967.0,,,,,Kepler-603.xml,
Kepler-604,Kepler-604,19 29 16,,+42 37 35,,,981.0,,,,,Kepler-604.xml,
Kepler-605,Kepler-605,19 09 11,,+43 16 48,,,570.0,,,,,Kepler-605.xml,
Kepler-606,Kepler-606,19 29 43,,+44 22 53,,,1208.0,,,,,Kepler-606.xml,
Kepler-607,Kepler-607,19 24 14,,+44 37 57,,,500.0,,,,,Kepler-607.xml,
Kepler-608,Kepler-608,19 35 32,,+44 38 17,,,926.0,,,,,Kepler-608.xml,
Kepler-609,Kepler-609,19 28 53,,+44 42 00,,,1143.0,,,,,Kepler-609.xml,
Kepler-61,Kepler-61,19 41 13,,+42 28 31,,326.20,,,,,,Kepler-61.xml,
Kepler-610,Kepler-610,19 32 41,,+45 03 56,,,1113.0,,,,,Kepler-610.xml,
Kepler-611,Kepler-611,19 04 01,,+45 28 49,,,906.0,,,,,Kepler-611.xml,
Kepler-612,Kepler-612,19 25 25,,+45 44 52,,,932.0,,,,,Kepler-612.xml,
Kepler-613,Kepler-613,18 51 09,,+46 14 42,,,864.0,,,,,Kepler-613.xml,
Kepler-614,Kepler-614,19 53 32,,+46 16 34,,,571.0,,,,,Kepler-614.xml,
Kepler-615,Kepler-615,18 49 48,,+46 19 17,,,330.0,,,,,Kepler-615.xml,
Kepler-616,Kepler-616,19 39 57,,+46 50 18,,,1019.0,,,,,Kepler-616.xml,
Kepler-617,Kepler-617,18 54 58,,+47 30 59,,,150.0,,,,,Kepler-617.xml,
Kepler-618,Kepler-618,19 04 59.9,,+48 03 39,,,1115.0,,,,,Kepler-618.xml,
Kepler-619,Kepler-619,19 23 24,,+48 24 58,,,1111.0,,,,,Kepler-619.xml,
Kepler-62,Kepler-62,18 52 51,,+45 20 59,,368,,,,,,Kepler-62.xml,
Kepler-620,Kepler-620,19 24 38,,+51 20 06,,,1241.0,,,,,Kepler-620.xml,
Kepler-621,Kepler-621,19 23 43,,+39 54 51,,,389.0,,,,,Kepler-621.xml,
Kepler-622,Kepler-622,18 57 55,,+40 55 59,,,259.0,,,,,Kepler-622.xml,
Kepler-623,Kepler-623,19 47 57,,+47 28 39,,,811.0,,,,,Kepler-623.xml,
Kepler-624,Kepler-624,19 40 46,,+39 32 23,,,731.0,,,,,Kepler-624.xml,
Kepler-625,Kepler-625,19 28 36,,+39 38 15,,,502.0,,,,,Kepler-625.xml,
Kepler-626,Kepler-626,19 14 48,,+39 42 30,,,690.0,,,,,Kepler-626.xml,
Kepler-627,Kepler-627,19 28 25,,+39 46 04,,,1143.0,,,,,Kepler-627.xml,
Kepler-628,Kepler-628,19 21 48,,+39 51 17,,,579.0,,,,,Kepler-628.xml,
Kepler-629,Kepler-629,19 17 40,,+39 56 42,,,383.0,,,,,Kepler-629.xml,
Kepler-630,Kepler-630,19 33 42,,+39 56 33,,,657.0,,,,,Kepler-630.xml,
Kepler-631,Kepler-631,19 47 33,,+40 13 42,,,843.0,,,,,Kepler-631.xml,
Kepler-632,Kepler-632,19 49 01,,+40 17 19,,,349.0,,,,,Kepler-632.xml,
Kepler-633,Kepler-633,19 40 52,,+40 35 32,,,634.0,,,,,Kepler-633.xml,
Kepler-634,Kepler-634,19 24 47,,+40 42 10,,,757.0,,,,,Kepler-634.xml,
Kepler-635,Kepler-635,19 19 06,,+40 48 03,,,826.0,,,,,Kepler-635.xml,
Kepler-636,Kepler-636,19 34 22,,+41 05 43,,,341.0,,,,,Kepler-636.xml,
Kepler-637,Kepler-637,19 29 40,,+41 25 01,,,1575.0,,,,,Kepler-637.xml,
Kepler-638,Kepler-638,18 59 41,,+41 37 02,,,426.0,,,,,Kepler-638.xml,
Kepler-639,Kepler-639,19 28 45,,+41 43 37,,,680.0,,,,,Kepler-639.xml,
Kepler-640,Kepler-640,19 44 08,,+42 07 54,,,538.0,,,,,Kepler-640.xml,
Kepler-641,Kepler-641,19 27 18,,+42 30 58,,,673.0,,,,,Kepler-641.xml,
Kepler-642,Kepler-642,19 35 20,,+42 37 30,,,1022.0,,,,,Kepler-642.xml,
Kepler-643,Kepler-643,19 21 19,,+42 53 54,,,1029.0,,,,,Kepler-643.xml,
Kepler-644,Kepler-644,19 41 54,,+43 29 35,,,1413.0,,,,,Kepler-644.xml,
Kepler-645,Kepler-645,19 21 17,,+44 02 09,,,901.0,,,,,Kepler-645.xml,
Kepler-646,Kepler-646,19 21 53,,+44 23 14,,,513.0,,,,,Kepler-646.xml,
Kepler-647,Kepler-647,18 59 09,,+44 35 30,,,789.0,,,,,Kepler-647.xml,
Kepler-648,Kepler-648,18 55 36,,+45 01 01,,,665.0,,,,,Kepler-648.xml,
Kepler-649,Kepler-649,19 02 37,,+45 04 46,,,525.0,,,,,Kepler-649.xml,
Kepler-65,Kepler-65,19 14 45,,+41 09 04,,246.65,312.43,,9.75,,9.75,Kepler-65.xml,
Kepler-650,Kepler-650,19 16 00,,+45 09 15,,,805.0,,,,,Kepler-650.xml,
Kepler-651,Kepler-651,19 09 20,,+46 12 13,,,537.0,,,,,Kepler-651.xml,
Kepler-652,Kepler-652,19 12 02,,+46 28 25,,,423.0,,,,,Kepler-652.xml,
Kepler-653,Kepler-653,18 48 51,,+46 43 04,,,593.0,,,,,Kepler-653.xml,
Kepler-654,Kepler-654,19 48 16,,+46 50 03,,,661.0,,,,,Kepler-654.xml,
Kepler-655,Kepler-655,19 49 02,,+46 50 35,,,783.0,,,,,Kepler-655.xml,
Kepler-656,Kepler-656,19 13 19,,+47 22 54,,,867.0,,,,,Kepler-656.xml,
Kepler-657,Kepler-657,19 24 47,,+47 18 28,,,1244.0,,,,,Kepler-657.xml,
Kepler-658,Kepler-658,18 51 56,,+47 34 43,,,341.0,,,,,Kepler-658.xml,
Kepler-659,Kepler-659,19 10 26,,+47 30 35,,,688.0,,,,,Kepler-659.xml,
Kepler-66,Kepler-66,19 35 56,,+46 41 16,,,,,,,,Kepler-66.xml,
Kepler-660,Kepler-660,19 12 33,,+47 43 28,,,564.0,,,,,Kepler-660.xml,
Kepler-661,Kepler-661,18 54 51,,+47 51 48,,,558.0,,,,,Kepler-661.xml,
Kepler-662,Kepler-662,19 21 52,,+47 55 45,,,641.0,,,,,Kepler-662.xml,
Kepler-663,Kepler-663,19 51 14,,+47 56 48,,,1030.0,,,,,Kepler-663.xml,
Kepler-664,Kepler-664,19 15 01,,+48 13 34,,,1386.0,,,,,Kepler-664.xml,
Kepler-665,Kepler-665,19 48 06,,+48 28 43,,,651.0,,,,,Kepler-665.xml,
Kepler-666,Kepler-666,19 53 50,,+48 47 30,,,1330.0,,,,,Kepler-666.xml,
Kepler-667,Kepler-667,19 42 13,,+49 01 02,,,907.0,,,,,Kepler-667.xml,
Kepler-668,Kepler-668,19 01 59.8,,+49 16 38,,,877.0,,,,,Kepler-668.xml,
Kepler-669,Kepler-669,19 27 45,,+49 15 14,,,1778.0,,,,,Kepler-669.xml,
Kepler-67,Kepler-67,19 36 37,,+46 09 59,,,,,,,,Kepler-67.xml,
Kepler-670,Kepler-670,19 48 04,,+49 13 31,,,980.0,,,,,Kepler-670.xml,
Kepler-671,Kepler-671,19 37 04,,+49 18 51,,,1139.0,,,,,Kepler-671.xml,
Kepler-672,Kepler-672,19 26 53,,+49 28 51,,,1011.0,,,,,Kepler-672.xml,
Kepler-673,Kepler-673,19 23 09,,+50 03 15,,,978.0,,,,,Kepler-673.xml,
Kepler-674,Kepler-674,19 00 42,,+50 08 59,,,302.0,,,,,Kepler-674.xml,
Kepler-675,Kepler-675,19 35 20,,+50 13 49,,,651.0,,,,,Kepler-675.xml,
Kepler-676,Kepler-676,19 44 53,,+50 17 14,,,243.0,,,,,Kepler-676.xml,
Kepler-677,Kepler-677,19 20 24,,+50 19 18,,,1180.0,,,,,Kepler-677.xml,
Kepler-678,Kepler-678,19 41 49,,+50 29 40,,,875.0,,,,,Kepler-678.xml,
Kepler-679,Kepler-679,19 44 05,,+50 34 04,,,968.0,,,,,Kepler-679.xml,
Kepler-68,Kepler-68,19 24 07.7644,,+49 02 24.957,,,,,,,,Kepler-68.xml,
Kepler-680,Kepler-680,19 26 29,,+50 37 06,,,1342.0,,,,,Kepler-680.xml,
Kepler-681,Kepler-681,19 17 36,,+51 15 01,,,666.0,,,,,Kepler-681.xml,
Kepler-682,Kepler-682,19 16 27,,+51 44 15,,,951.0,,,,,Kepler-682.xml,
Kepler-683,Kepler-683,19 25 46,,+37 54 20,,,976.0,,,,,Kepler-683.xml,
Kepler-684,Kepler-684,19 23 29,,+38 16 25,,,1066.0,,,,,Kepler-684.xml,
Kepler-685,Kepler-685,19 35 29,,+38 25 23,,,1145.0,,,,,Kepler-685.xml,
Kepler-686,Kepler-686,19 00 51,,+39 01 39,,,1203.0,,,,,Kepler-686.xml,
Kepler-687,Kepler-687,19 17 16,,+39 09 12,,,628.0,,,,,Kepler-687.xml,
Kepler-688,Kepler-688,19 38 37,,+39 18 30,,,1247.0,,,,,Kepler-688.xml,
Kepler-689,Kepler-689,19 38 51,,+39 31 18,,,1044.0,,,,,Kepler-689.xml,
Kepler-69,Kepler-69,19 33 02,,+44 52 08,,591.74,,,,,,Kepler-69.xml,
Kepler-690,Kepler-690,19 37 58,,+39 46 17,,,1653.0,,,,,Kepler-690.xml,
Kepler-691,Kepler-691,19 15 15,,+40 02 00,,,239.0,,,,,Kepler-691.xml,
Kepler-692,Kepler-692,19 39 06,,+40 09 13,,,1000.0,,,,,Kepler-692.xml,
Kepler-693,Kepler-693,18 53 01,,+40 21 30,,,1002.0,,,,,Kepler-693.xml,
Kepler-694,Kepler-694,19 24 36,,+40 25 14,,,1023.0,,,,,Kepler-694.xml,
Kepler-695,Kepler-695,19 57 16,,+40 49 21,,,620.0,,,,,Kepler-695.xml,
Kepler-696,Kepler-696,19 33 59,,+41 08 15,,,1285.0,,,,,Kepler-696.xml,
Kepler-697,Kepler-697,18 55 27,,+41 20 47,,,1091.0,,,,,Kepler-697.xml,
Kepler-698,Kepler-698,19 14 02,,+41 18 06,,,1135.0,,,,,Kepler-698.xml,
Kepler-699,Kepler-699,19 47 33,,+41 23 46,,,888.0,,,,,Kepler-699.xml,
Kepler-7,Kepler-7,19 14 20,,+41 05 23,,,,,,,,Kepler-7.xml,
Kepler-183,KOI-55,19 34 07,,+39 18 57,,1092.31,1180.0,,95.0,,95.0,Kepler-183.xml,
Kepler-700,Kepler-700,19 08 37,,+41 33 57,,,1061.0,,,,,Kepler-700.xml,
Kepler-701,Kepler-701,19 15 59,,+41 37 60,,,755.0,,,,,Kepler-701.xml,
Kepler-702,Kepler-702,19 35 31,,+41 39 42,,,892.0,,,,,Kepler-702.xml,
Kepler-703,Kepler-703,19 56 45,,+41 44 34,,,1482.0,,,,,Kepler-703.xml,
Kepler-704,Kepler-704,18 53 16,,+41 50 14,,,1054.0,,,,,Kepler-704.xml,
Kepler-705,Kepler-705,19 18 02,,+41 48 44,,,251.0,,,,,Kepler-705.xml,
Kepler-706,Kepler-706,19 27 02,,+41 56 39,,,810.0,,,,,Kepler-706.xml,
Kepler-707,Kepler-707,19 20 02,,+42 06 59,,,626.0,,,,,Kepler-707.xml,
Kepler-708,Kepler-708,19 35 16,,+42 12 45,,,1241.0,,,,,Kepler-708.xml,
Kepler-709,Kepler-709,19 28 25,,+42 22 49,,,668.0,,,,,Kepler-709.xml,
Kepler-71,Kepler-71,19 39 27,,+46 17 09,,918.88,,,,,,Kepler-71.xml,
Kepler-710,Kepler-710,19 27 51,,+42 41 46,,,919.0,,,,,Kepler-710.xml,
Kepler-711,Kepler-711,19 49 50,,+42 50 24,,,664.0,,,,,Kepler-711.xml,
Kepler-712,Kepler-712,19 39 38,,+42 56 07,,,944.0,,,,,Kepler-712.xml,
Kepler-713,Kepler-713,19 42 36,,+43 01 47,,,1003.0,,,,,Kepler-713.xml,
Kepler-714,Kepler-714,18 50 48,,+43 16 22,,,1460.0,,,,,Kepler-714.xml,
Kepler-715,Kepler-715,18 54 31,,+43 22 46,,,1214.0,,,,,Kepler-715.xml,
Kepler-716,Kepler-716,19 21 34,,+43 21 50,,,675.0,,,,,Kepler-716.xml,
Kepler-717,Kepler-717,19 31 52,,+43 20 47,,,1126.0,,,,,Kepler-717.xml,
