Primary system name,All system names,Right ascension,Declination,Distance [parsec],Distance errorminus,Distance errorplus,source (xml)
Kepler-683,kepler-683,19 25 46,+37 54 20,,,,Kepler-683.xml
Kepler-684,kepler-684,19 23 29,+38 16 25,,,,Kepler-684.xml
Kepler-685,kepler-685,19 35 29,+38 25 23,,,,Kepler-685.xml
Kepler-686,kepler-686,19 00 51,+39 01 39,,,,Kepler-686.xml
Kepler-687,kepler-687,19 17 16,+39 09 12,,,,Kepler-687.xml
Kepler-688,kepler-688,19 38 37,+39 18 30,,,,Kepler-688.xml
Kepler-689,kepler-689,19 38 51,+39 31 18,,,,Kepler-689.xml
Kepler-69,kepler-69|koi-172,19 33 02,+44 52 08,591.74,,,Kepler-69.xml
Kepler-690,kepler-690,19 37 58,+39 46 17,,,,Kepler-690.xml
Kepler-691,kepler-691,19 15 15,+40 02 00,,,,Kepler-691.xml
Kepler-692,kepler-692,19 39 06,+40 09 13,,,,Kepler-692.xml
Kepler-693,kepler-693,18 53 01,+40 21 30,,,,Kepler-693.xml
Kepler-694,kepler-694,19 24 36,+40 25 14,,,,Kepler-694.xml
Kepler-695,kepler-695,19 57 16,+40 49 21,,,,Kepler-695.xml
Kepler-696,kepler-696,19 33 59,+41 08 15,,,,Kepler-696.xml
Kepler-697,kepler-697,18 55 27,+41 20 47,,,,Kepler-697.xml
Kepler-698,kepler-698,19 14 02,+41 18 06,,,,Kepler-698.xml
Kepler-699,kepler-699,19 47 33,+41 23 46,,,,Kepler-699.xml
Kepler-7,kepler-7,19 14 20,+41 05 23,,,,Kepler-7.xml
Kepler-700,kepler-700,19 08 37,+41 33 57,,,,Kepler-700.xml
Kepler-701,kepler-701,19 15 59,+41 37 60,,,,Kepler-701.xml
Kepler-702,kepler-702,19 35 31,+41 39 42,,,,Kepler-702.xml
Kepler-703,kepler-703,19 56 45,+41 44 34,,,,Kepler-703.xml
Kepler-704,kepler-704,18 53 16,+41 50 14,,,,Kepler-704.xml
Kepler-705,kepler-705,19 18 02,+41 48 44,,,,Kepler-705.xml
Kepler-706,kepler-706,19 27 02,+41 56 39,,,,Kepler-706.xml
Kepler-707,kepler-707,19 20 02,+42 06 59,,,,Kepler-707.xml
Kepler-708,kepler-708,19 35 16,+42 12 45,,,,Kepler-708.xml
Kepler-709,kepler-709,19 28 25,+42 22 49,,,,Kepler-709.xml
Kepler-71,kepler-71,19 39 27,+46 17 09,918.88,,,Kepler-71.xml
Kepler-710,kepler-710,19 27 51,+42 41 46,,,,Kepler-710.xml
Kepler-711,kepler-711,19 49 50,+42 50 24,,,,Kepler-711.xml
Kepler-712,kepler-712,19 39 38,+42 56 07,,,,Kepler-712.xml
Kepler-713,kepler-713,19 42 36,+43 01 47,,,,Kepler-713.xml
Kepler-714,kepler-714,18 50 48,+43 16 22,,,,Kepler-714.xml
Kepler-715,kepler-715,18 54 31,+43 22 46,,,,Kepler-715.xml
Kepler-716,kepler-716,19 21 34,+43 21 50,,,,Kepler-716.xml
Kepler-717,kepler-717,19 31 52,+43 20 47,,,,Kepler-717.xml
Kepler-718,kepler-718,19 58 15,+43 30 13,,,,Kepler-718.xml
Kepler-719,kepler-719,19 42 09,+43 53 04,,,,Kepler-719.xml
Kepler-720,kepler-720,19 54 33,+44 10 15,,,,Kepler-720.xml
Kepler-721,kepler-721,18 57 43,+44 28 50,,,,Kepler-721.xml
Kepler-722,kepler-722,19 21 03,+44 33 23,,,,Kepler-722.xml
Kepler-723,kepler-723,18 59 19,+44 39 29,,,,Kepler-723.xml
Kepler-724,kepler-724,19 33 49,+44 47 34,,,,Kepler-724.xml
Kepler-725,kepler-725,18 55 55,+44 48 42,,,,Kepler-725.xml
Kepler-726,kepler-726,19 26 52,+44 53 14,,,,Kepler-726.xml
Kepler-727,kepler-727,19 39 23,+45 02 04,,,,Kepler-727.xml
Kepler-728,kepler-728,19 24 22,+45 06 56,,,,Kepler-728.xml
Kepler-729,kepler-729,19 05 26,+45 24 51,,,,Kepler-729.xml
Kepler-730,kepler-730,19 02 13,+45 34 44,,,,Kepler-730.xml
Kepler-731,kepler-731,19 45 34,+45 34 07,,,,Kepler-731.xml
Kepler-732,kepler-732,18 54 56,+45 57 32,,,,Kepler-732.xml
Kepler-733,kepler-733,19 32 04,+45 54 53,,,,Kepler-733.xml
Kepler-734,kepler-734,19 48 11,+46 01 39,,,,Kepler-734.xml
Kepler-735,kepler-735,18 58 45,+46 10 20,,,,Kepler-735.xml
Kepler-736,kepler-736,19 01 34,+46 10 51,,,,Kepler-736.xml
Kepler-737,kepler-737,19 27 27,+46 25 45,,,,Kepler-737.xml
Kepler-738,kepler-738,19 10 17,+46 34 04,,,,Kepler-738.xml
Kepler-739,kepler-739,19 20 16,+46 34 45,,,,Kepler-739.xml
Kepler-74,kepler-74|kic6046540|2mass19322220+4121198,19 32 22,+41 21 20,1330,170,170,Kepler-74.xml
Kepler-740,kepler-740,19 05 56,+46 41 33,,,,Kepler-740.xml
Kepler-741,kepler-741,19 17 44,+46 37 03,,,,Kepler-741.xml
Kepler-742,kepler-742,18 55 28,+46 47 23,,,,Kepler-742.xml
Kepler-743,kepler-743,19 42 18,+42 48 23,,,,Kepler-743.xml
Kepler-744,kepler-744,19 45 59,+47 10 58,,,,Kepler-744.xml
Kepler-745,kepler-745,19 25 59.9,+37 03 33,,,,Kepler-745.xml
Kepler-746,kepler-746,19 22 44,+37 21 18,,,,Kepler-746.xml
Kepler-747,kepler-747,19 13 40,+41 01 47,,,,Kepler-747.xml
Kepler-748,kepler-748,19 29 03,+37 14 13,,,,Kepler-748.xml
Kepler-749,kepler-749,19 59 35,+43 54 14,,,,Kepler-749.xml
Kepler-75,kepler-75|kic757450|2mass19243302+3634385,19 24 33,+36 34 39,1140,250,160,Kepler-75.xml
Kepler-750,kepler-750,19 16 23,+44 00 16,,,,Kepler-750.xml
Kepler-751,kepler-751,19 39 23,+44 04 40,,,,Kepler-751.xml
Kepler-752,kepler-752,19 29 04,+37 57 20,,,,Kepler-752.xml
Kepler-753,kepler-753,19 27 37,+37 54 08,,,,Kepler-753.xml
Kepler-754,kepler-754,19 33 01,+37 50 46,,,,Kepler-754.xml
Kepler-755,kepler-755,19 47 27,+41 05 50,,,,Kepler-755.xml
Kepler-756,kepler-756,19 22 26,+41 12 04,,,,Kepler-756.xml
Kepler-757,kepler-757,19 46 43,+41 23 11,,,,Kepler-757.xml
Kepler-758,kepler-758,19 32 20,+41 08 08,,,,Kepler-758.xml
Kepler-759,kepler-759,19 20 32,+41 22 53,,,,Kepler-759.xml
Kepler-76,kepler-76|kic4570949,19 36 46,+39 37 08,,,,Kepler-76.xml
Kepler-760,kepler-760,19 10 22,+44 10 46,,,,Kepler-760.xml
Kepler-761,kepler-761,19 22 01,+44 08 37,,,,Kepler-761.xml
Kepler-762,kepler-762,19 25 06,+47 19 46,,,,Kepler-762.xml
Kepler-763,kepler-763,19 28 35,+47 09 26,,,,Kepler-763.xml
Kepler-764,kepler-764,19 49 34,+47 09 53,,,,Kepler-764.xml
Kepler-765,kepler-765,18 52 44,+47 09 20,,,,Kepler-765.xml
Kepler-766,kepler-766,19 32 44,+37 58 11,,,,Kepler-766.xml
Kepler-767,kepler-767,19 26 19,+38 02 09,,,,Kepler-767.xml
Kepler-768,kepler-768,19 36 28,+38 23 37,,,,Kepler-768.xml
Kepler-769,kepler-769,19 30 51,+38 21 30,,,,Kepler-769.xml
Kepler-77,kepler-77|kic8359498|gsc2.3n2k0000444|usno-a21275-11111739|2mass19182590+4420435,19 18 25,+44 20 44,570,70,70,Kepler-77.xml
Kepler-770,kepler-770,19 05 58,+38 22 30,,,,Kepler-770.xml
Kepler-771,kepler-771,19 09 47,+38 05 18,,,,Kepler-771.xml
Kepler-772,kepler-772,19 25 42,+38 12 60,,,,Kepler-772.xml
Kepler-773,kepler-773,19 23 32,+38 03 27,,,,Kepler-773.xml
Kepler-774,kepler-774,19 24 08,+38 12 43,,,,Kepler-774.xml
Kepler-775,kepler-775,19 25 44,+41 42 12,,,,Kepler-775.xml
Kepler-776,kepler-776,19 09 05,+41 38 08,,,,Kepler-776.xml
Kepler-777,kepler-777,18 50 54,+44 20 47,,,,Kepler-777.xml
Kepler-778,kepler-778,19 09 55,+44 14 15,,,,Kepler-778.xml
Kepler-779,kepler-779,19 02 31,+44 18 39,,,,Kepler-779.xml
Kepler-780,kepler-780,18 47 04,+44 17 33,,,,Kepler-780.xml
Kepler-781,kepler-781,19 10 37,+47 24 53,,,,Kepler-781.xml
Kepler-782,kepler-782,19 15 28,+47 45 34,,,,Kepler-782.xml
Kepler-783,kepler-783,19 24 15,+47 29 05,,,,Kepler-783.xml
Kepler-784,kepler-784,19 43 41,+47 26 55,,,,Kepler-784.xml
Kepler-785,kepler-785,19 28 16,+38 50 32,,,,Kepler-785.xml
Kepler-786,kepler-786,19 34 59,+38 56 21,,,,Kepler-786.xml
Kepler-787,kepler-787,19 26 46,+38 34 22,,,,Kepler-787.xml
Kepler-788,kepler-788,19 20 00,+38 32 24,,,,Kepler-788.xml
Kepler-789,kepler-789,19 43 54,+38 56 48,,,,Kepler-789.xml
Kepler-79,kepler-79|koi-152|kic8394721,20 02 04.114,+44 22 53.44,1100.38,,,Kepler-79.xml
Kepler-790,kepler-790,19 07 40,+38 52 20,,,,Kepler-790.xml
Kepler-791,kepler-791,19 34 23,+39 01 46,,,,Kepler-791.xml
Kepler-792,kepler-792,19 28 02,+38 49 15,,,,Kepler-792.xml
Kepler-793,kepler-793,19 40 52,+38 46 28,,,,Kepler-793.xml
Kepler-794,kepler-794,19 12 32,+38 59 49,,,,Kepler-794.xml
Kepler-795,kepler-795,19 24 05,+38 32 44,,,,Kepler-795.xml
Kepler-796,kepler-796,19 09 14,+39 08 41,,,,Kepler-796.xml
Kepler-797,kepler-797,19 48 50,+41 46 54,,,,Kepler-797.xml
Kepler-798,kepler-798,19 29 55,+42 08 32,,,,Kepler-798.xml
Kepler-799,kepler-799,19 08 42,+44 52 43,,,,Kepler-799.xml
Kepler-8,kepler-8,18 45 09,+42 27 04,1330,180,180,Kepler-8.xml
Kepler-80,kepler-80|koi-500|kic4852528,19 44 27,+39 58 43,418.17,,,Kepler-80.xml
Kepler-800,kepler-800,19 06 18,+44 47 43,,,,Kepler-800.xml
Kepler-801,kepler-801,19 04 18,+44 39 53,,,,Kepler-801.xml
Kepler-802,kepler-802,19 04 04,+45 00 28,,,,Kepler-802.xml
Kepler-803,kepler-803,19 56 53,+44 41 38,,,,Kepler-803.xml
Kepler-804,kepler-804,19 33 29,+44 47 06,,,,Kepler-804.xml
Kepler-805,kepler-805,19 32 55,+45 03 12,,,,Kepler-805.xml
Kepler-806,kepler-806,19 44 02,+44 51 12,,,,Kepler-806.xml
Kepler-807,kepler-807,19 16 05,+48 07 11,,,,Kepler-807.xml
Kepler-808,kepler-808,19 26 23,+48 26 44,,,,Kepler-808.xml
Kepler-809,kepler-809,19 16 20,+48 01 05,,,,Kepler-809.xml
Kepler-81,kepler-81|koi-877|kic7287995,19 34 32,+42 49 29,410.38,,,Kepler-81.xml
Kepler-810,kepler-810,19 46 28,+48 04 58,,,,Kepler-810.xml
Kepler-811,kepler-811,19 01 42,+47 50 05,,,,Kepler-811.xml
Kepler-812,kepler-812,19 15 25,+48 12 31,,,,Kepler-812.xml
Kepler-813,kepler-813,19 02 39,+48 26 07,,,,Kepler-813.xml
Kepler-814,kepler-814,18 59 39,+48 25 54,,,,Kepler-814.xml
Kepler-815,kepler-815,19 00 53,+47 52 53,,,,Kepler-815.xml
Kepler-816,kepler-816,19 33 27,+39 12 45,,,,Kepler-816.xml
Kepler-817,kepler-817,19 44 20,+39 09 42,,,,Kepler-817.xml
Kepler-818,kepler-818,19 44 56,+39 22 13,,,,Kepler-818.xml
Kepler-819,kepler-819,19 41 29,+39 10 38,,,,Kepler-819.xml
Kepler-82,kepler-82|koi-880|kic7366258,19 31 29,+42 57 58,1011.01,,,Kepler-82.xml
Kepler-820,kepler-820,19 24 05,+39 13 14,,,,Kepler-820.xml
Kepler-821,kepler-821,19 02 28,+39 22 46,,,,Kepler-821.xml
Kepler-822,kepler-822,19 29 06,+39 33 01,,,,Kepler-822.xml
Kepler-823,kepler-823,18 58 20,+39 13 13,,,,Kepler-823.xml
Kepler-824,kepler-824,19 21 55,+39 43 55,,,,Kepler-824.xml
Kepler-825,kepler-825,19 39 05,+39 23 55,,,,Kepler-825.xml
Kepler-826,kepler-826,18 59 26,+39 14 26,,,,Kepler-826.xml
Kepler-827,kepler-827,19 39 52,+42 42 31,,,,Kepler-827.xml
Kepler-828,kepler-828,19 07 33,+42 28 17,,,,Kepler-828.xml
Kepler-829,kepler-829,18 49 20,+42 27 50,,,,Kepler-829.xml
Kepler-83,kepler-83|koi-898|kic7870390,18 48 55,+43 39 56,619.67,,,Kepler-83.xml
Kepler-830,kepler-830,19 40 13,+42 45 25,,,,Kepler-830.xml
Kepler-831,kepler-831,19 39 57,+42 43 40,,,,Kepler-831.xml
Kepler-832,kepler-832,19 43 42,+45 23 02,,,,Kepler-832.xml
Kepler-833,kepler-833,19 21 55,+45 36 03,,,,Kepler-833.xml
Kepler-834,kepler-834,19 08 13,+45 10 49,,,,Kepler-834.xml
Kepler-835,kepler-835,18 54 18,+45 44 05,,,,Kepler-835.xml
Kepler-836,kepler-836,19 09 49,+45 42 16,,,,Kepler-836.xml
Kepler-837,kepler-837,19 00 59,+45 57 01,,,,Kepler-837.xml
Kepler-838,kepler-838,19 01 45,+45 58 34,,,,Kepler-838.xml
Kepler-839,kepler-839,19 24 18,+45 14 33,,,,Kepler-839.xml
Kepler-84,kepler-84|koi-1589|kic5301750,19 53 00,+40 29 45,1287.77,,,Kepler-84.xml
Kepler-840,kepler-840,19 46 02,+49 27 26,,,,Kepler-840.xml
Kepler-841,kepler-841,18 57 00,+48 48 35,,,,Kepler-841.xml
Kepler-842,kepler-842,19 29 19,+49 39 13,,,,Kepler-842.xml
Kepler-843,kepler-843,19 45 17,+48 58 17,,,,Kepler-843.xml
Kepler-844,kepler-844,19 11 26,+48 46 27,,,,Kepler-844.xml
Kepler-845,kepler-845,19 23 50,+49 12 14,,,,Kepler-845.xml
Kepler-846,kepler-846,19 08 14,+49 02 46,,,,Kepler-846.xml
Kepler-847,kepler-847,18 54 01,+49 27 04,,,,Kepler-847.xml
Kepler-848,kepler-848,19 33 09,+48 48 42,,,,Kepler-848.xml
Kepler-849,kepler-849,19 23 24,+48 31 17,,,,Kepler-849.xml
Kepler-85,kepler-85|koi-2038|kic8950568,19 23 53,+45 17 25,804.74,,,Kepler-85.xml
Kepler-850,kepler-850,19 32 20,+48 34 31,,,,Kepler-850.xml
Kepler-851,kepler-851,19 38 43,+49 08 25,,,,Kepler-851.xml
Kepler-852,kepler-852,19 49 34,+48 33 38,,,,Kepler-852.xml
Kepler-853,kepler-853,18 55 45,+49 06 37,,,,Kepler-853.xml
Kepler-854,kepler-854,19 33 24,+43 08 05,,,,Kepler-854.xml
Kepler-855,kepler-855,19 40 23,+43 32 15,,,,Kepler-855.xml
Kepler-856,kepler-856,19 18 25,+46 18 54,,,,Kepler-856.xml
Kepler-857,kepler-857,19 38 32,+43 24 02,,,,Kepler-857.xml
Kepler-858,kepler-858,19 15 24,+51 12 33,,,,Kepler-858.xml
Kepler-859,kepler-859,19 06 58,+43 11 24,,,,Kepler-859.xml
Kepler-860,kepler-860,19 42 19,+46 15 17,,,,Kepler-860.xml
Kepler-861,kepler-861,19 29 25,+46 13 35,,,,Kepler-861.xml
Kepler-862,kepler-862,19 51 07,+46 29 34,,,,Kepler-862.xml
Kepler-863,kepler-863,19 50 39,+43 14 56,,,,Kepler-863.xml
Kepler-864,kepler-864,19 00 14,+46 19 14,,,,Kepler-864.xml
Kepler-865,kepler-865,19 50 54,+43 31 39,,,,Kepler-865.xml
Kepler-866,kepler-866,19 20 29,+43 05 08,,,,Kepler-866.xml
Kepler-867,kepler-867,19 09 08,+51 14 60,,,,Kepler-867.xml
Kepler-868,kepler-868,18 49 27,+46 40 31,,,,Kepler-868.xml
Kepler-869,kepler-869,19 17 42,+50 59 39,,,,Kepler-869.xml
Kepler-87,kepler-87,19 51 40,+46 57 54,781.83,,,Kepler-87.xml
Kepler-870,kepler-870,19 41 37,+50 28 43,,,,Kepler-870.xml
Kepler-871,kepler-871,19 38 07,+43 22 05,,,,Kepler-871.xml
Kepler-872,kepler-872,19 41 40,+43 36 20,,,,Kepler-872.xml
Kepler-873,kepler-873,19 45 37,+51 16 17,,,,Kepler-873.xml
Kepler-874,kepler-874,19 39 50,+43 00 52,,,,Kepler-874.xml
Kepler-875,kepler-875,19 49 12,+43 08 31,,,,Kepler-875.xml
Kepler-876,kepler-876,18 53 55,+43 23 02,,,,Kepler-876.xml
Kepler-877,kepler-877,19 19 26,+46 31 22,,,,Kepler-877.xml
Kepler-878,kepler-878,19 01 11,+46 36 12,,,,Kepler-878.xml
Kepler-879,kepler-879,19 43 14,+50 54 35,,,,Kepler-879.xml
Kepler-880,kepler-880,18 47 53,+43 40 22,,,,Kepler-880.xml
Kepler-881,kepler-881,19 15 58,+46 40 15,,,,Kepler-881.xml
Kepler-882,kepler-882,19 38 36,+43 20 08,,,,Kepler-882.xml
Kepler-883,kepler-883,19 05 44,+50 18 01,,,,Kepler-883.xml
Kepler-884,kepler-884,19 30 20,+49 55 23,,,,Kepler-884.xml
Kepler-885,kepler-885,19 14 39,+49 44 14,,,,Kepler-885.xml
Kepler-886,kepler-886,19 05 05,+43 35 43,,,,Kepler-886.xml
Kepler-887,kepler-887,19 20 22,+39 49 01,,,,Kepler-887.xml
Kepler-888,kepler-888,19 42 05,+49 44 19,,,,Kepler-888.xml
Kepler-889,kepler-889,19 25 52,+50 45 34,,,,Kepler-889.xml
Kepler-89,kepler-89,19 49 19,+41 53 28,426.2,,,Kepler-89.xml
Kepler-890,kepler-890,19 13 45,+43 45 49,,,,Kepler-890.xml
Kepler-891,kepler-891,19 24 20,+40 21 19,,,,Kepler-891.xml
Kepler-892,kepler-892,18 52 31,+43 53 18,,,,Kepler-892.xml
Kepler-893,kepler-893,18 59 51,+43 54 47,,,,Kepler-893.xml
Kepler-894,kepler-894,19 14 56,+46 56 22,,,,Kepler-894.xml
Kepler-895,kepler-895,19 17 10,+51 24 32,,,,Kepler-895.xml
Kepler-896,kepler-896,18 49 45,+43 44 04,,,,Kepler-896.xml
Kepler-897,kepler-897,19 22 21,+51 41 45,,,,Kepler-897.xml
Kepler-898,kepler-898,19 06 20,+46 52 15,,,,Kepler-898.xml
Kepler-899,kepler-899,19 49 56,+40 40 51,,,,Kepler-899.xml
Kepler-9,kepler-9,19 02 17,+38 24 03,650,,,Kepler-9.xml
Kepler-90,kepler-90,18 57 44,+49 18 19,834.52,,,Kepler-90.xml
Kepler-900,kepler-900,19 44 43,+46 59 56,,,,Kepler-900.xml
Kepler-901,kepler-901,19 24 37,+40 53 15,,,,Kepler-901.xml
Kepler-902,kepler-902,19 18 56,+46 57 14,,,,Kepler-902.xml
Kepler-903,kepler-903,19 15 05,+40 39 51,,,,Kepler-903.xml
Kepler-904,kepler-904,19 15 17,+40 23 21,,,,Kepler-904.xml
Kepler-905,kepler-905,19 20 12,+46 42 48,,,,Kepler-905.xml
Kepler-906,kepler-906,19 25 37,+40 07 32,,,,Kepler-906.xml
Kepler-907,kepler-907,19 01 54,+41 37 58,,,,Kepler-907.xml
Kepler-908,kepler-908,19 41 17,+39 22 35,,,,Kepler-908.xml
Kepler-909,kepler-909,19 18 02,+45 22 16,,,,Kepler-909.xml
Kepler-91,kepler-91|kic8219268,19 02 41,+44 07 00,1030,130,150,Kepler-91.xml
Kepler-910,kepler-910,19 44 11,+42 44 35,,,,Kepler-910.xml
Kepler-911,kepler-911,19 54 21,+40 45 02,,,,Kepler-911.xml
Kepler-912,kepler-912,19 52 27,+41 45 30,,,,Kepler-912.xml
Kepler-913,kepler-913,19 50 20,+41 57 09,,,,Kepler-913.xml
Kepler-914,kepler-914,19 21 39,+44 53 58,,,,Kepler-914.xml
Kepler-915,kepler-915,19 22 22,+45 44 14,,,,Kepler-915.xml
Kepler-916,kepler-916,19 23 56,+45 58 24,,,,Kepler-916.xml
Kepler-917,kepler-917,19 56 12,+47 56 57,,,,Kepler-917.xml
Kepler-918,kepler-918,19 52 48,+48 16 04,,,,Kepler-918.xml
Kepler-919,kepler-919,19 52 28,+48 29 40,,,,Kepler-919.xml
Kepler-920,kepler-920,18 57 11,+49 09 31,,,,Kepler-920.xml
Kepler-921,kepler-921,18 58 28,+49 11 27,,,,Kepler-921.xml
Kepler-922,kepler-922,18 58 56,+49 31 60,,,,Kepler-922.xml
Kepler-923,kepler-923,19 36 41,+40 03 19,,,,Kepler-923.xml
Kepler-924,kepler-924,19 22 40,+40 23 52,,,,Kepler-924.xml
Kepler-925,kepler-925,19 20 26,+40 29 26,,,,Kepler-925.xml
Kepler-926,kepler-926,19 18 43,+40 42 02,,,,Kepler-926.xml
Kepler-927,kepler-927,19 17 32,+41 23 34,,,,Kepler-927.xml
Kepler-928,kepler-928,19 19 41,+41 32 34,,,,Kepler-928.xml
Kepler-929,kepler-929,19 53 55,+41 36 55,,,,Kepler-929.xml
Kepler-93,kepler-93|koi-69|kic3544595,19 25 40.3888,+38 40 20.450,96.7,,,Kepler-93.xml
Kepler-930,kepler-930,19 53 15,+42 14 51,,,,Kepler-930.xml
Kepler-931,kepler-931,19 48 32,+42 46 06,,,,Kepler-931.xml
Kepler-932,kepler-932,19 47 48,+43 16 19,,,,Kepler-932.xml
Kepler-933,kepler-933,19 18 16,+43 32 19,,,,Kepler-933.xml
Kepler-934,kepler-934,19 21 09,+43 45 19,,,,Kepler-934.xml
Kepler-935,kepler-935,19 40 05,+46 37 09,,,,Kepler-935.xml
Kepler-936,kepler-936,19 34 19,+46 44 11,,,,Kepler-936.xml
Kepler-937,kepler-937,19 36 41,+46 42 53,,,,Kepler-937.xml
Kepler-938,kepler-938,19 39 09,+46 59 02,,,,Kepler-938.xml
Kepler-939,kepler-939,19 35 28,+47 01 37,,,,Kepler-939.xml
Kepler-94,kepler-94|koi-104|kic10318874,18 44 47,+47 29 49,223.0,,,Kepler-94.xml
Kepler-940,kepler-940,19 36 58,+47 16 34,,,,Kepler-940.xml
Kepler-941,kepler-941,19 37 18,+47 13 03,,,,Kepler-941.xml
Kepler-942,kepler-942,19 39 49,+44 08 59,,,,Kepler-942.xml
Kepler-943,kepler-943,18 57 06,+41 32 06,,,,Kepler-943.xml
Kepler-944,kepler-944,19 34 24,+42 22 47,,,,Kepler-944.xml
Kepler-945,kepler-945,19 25 05,+42 05 46,,,,Kepler-945.xml
Kepler-946,kepler-946,20 03 43,+44 01 44,,,,Kepler-946.xml
Kepler-947,kepler-947,19 37 28,+42 15 10,,,,Kepler-947.xml
Kepler-948,kepler-948,19 33 12,+41 31 24,,,,Kepler-948.xml
Kepler-949,kepler-949,19 54 26,+46 27 13,,,,Kepler-949.xml
Kepler-95,kepler-95|koi-122|kic8349582,18 57 56,+44 23 52,456.3,,,Kepler-95.xml
Kepler-950,kepler-950,19 11 50,+41 07 49,,,,Kepler-950.xml
Kepler-951,kepler-951,19 10 57,+38 06 52,,,,Kepler-951.xml
Kepler-952,kepler-952,19 01 29,+41 59 38,,,,Kepler-952.xml
Kepler-953,kepler-953,19 15 53,+44 37 28,,,,Kepler-953.xml
Kepler-954,kepler-954,19 43 26,+47 56 22,,,,Kepler-954.xml
Kepler-955,kepler-955,19 13 53,+40 16 11,,,,Kepler-955.xml
Kepler-956,kepler-956,19 30 07,+49 03 42,,,,Kepler-956.xml
Kepler-957,kepler-957,19 20 38,+48 49 08,,,,Kepler-957.xml
Kepler-958,kepler-958,19 09 02,+46 04 00,,,,Kepler-958.xml
Kepler-959,kepler-959,19 28 41,+40 48 41,,,,Kepler-959.xml
Kepler-96,kepler-96|koi-261|kic5383248,19 48 17,+40 31 30,128.0,,,Kepler-96.xml
Kepler-960,kepler-960,18 45 50,+46 44 47,,,,Kepler-960.xml
Kepler-961,kepler-961,18 48 09,+43 37 53,,,,Kepler-961.xml
Kepler-962,kepler-962,19 41 15,+46 14 15,,,,Kepler-962.xml
Kepler-963,kepler-963,19 47 01,+45 02 28,,,,Kepler-963.xml
Kepler-964,kepler-964,19 41 12,+40 33 24,,,,Kepler-964.xml
Kepler-965,kepler-965,19 54 04,+41 53 28,,,,Kepler-965.xml
Kepler-966,kepler-966,19 49 05,+50 07 19,,,,Kepler-966.xml
Kepler-967,kepler-967,19 06 14,+38 24 19,,,,Kepler-967.xml
Kepler-968,kepler-968,19 02 25,+50 06 43,,,,Kepler-968.xml
Kepler-969,kepler-969,19 13 29,+47 56 01,,,,Kepler-969.xml
Kepler-97,kepler-97|koi-292|kic11075737,19 09 18,+48 40 24,414.4,,,Kepler-97.xml
Kepler-970,kepler-970,19 18 30,+40 42 31,,,,Kepler-970.xml
Kepler-971,kepler-971,18 56 23,+41 10 58,,,,Kepler-971.xml
Kepler-972,kepler-972,19 43 19,+43 25 32,,,,Kepler-972.xml
Kepler-973,kepler-973,19 20 40,+49 55 26,,,,Kepler-973.xml
Kepler-974,kepler-974,19 00 03,+40 13 15,,,,Kepler-974.xml
Kepler-975,kepler-975,19 22 12,+38 29 43,,,,Kepler-975.xml
Kepler-976,kepler-976,19 19 29,+46 43 47,,,,Kepler-976.xml
Kepler-977,kepler-977,19 26 04,+42 14 54,,,,Kepler-977.xml
Kepler-978,kepler-978,19 06 51,+43 02 36,,,,Kepler-978.xml
Kepler-979,kepler-979,20 01 29,+46 24 30,,,,Kepler-979.xml
Kepler-98,kepler-98|koi-299|kic2692377,19 02 39,+37 57 52,437.2,,,Kepler-98.xml
Kepler-980,kepler-980,19 38 27,+45 03 37,,,,Kepler-980.xml
Kepler-981,kepler-981,19 16 59.7,+47 39 00,,,,Kepler-981.xml
Kepler-982,kepler-982,19 13 40,+46 35 26,,,,Kepler-982.xml
Kepler-983,kepler-983,19 00 25,+45 00 29,,,,Kepler-983.xml
Kepler-984,kepler-984,19 47 50,+46 23 39,,,,Kepler-984.xml
Kepler-985,kepler-985,19 20 35,+44 02 60,,,,Kepler-985.xml
Kepler-986,kepler-986,19 32 23,+42 53 47,,,,Kepler-986.xml
Kepler-987,kepler-987,19 17 39,+46 07 51,,,,Kepler-987.xml
Kepler-988,kepler-988,19 22 50,+42 14 14,,,,Kepler-988.xml
Kepler-989,kepler-989,18 46 20,+47 14 01,,,,Kepler-989.xml
Kepler-99,kepler-99|koi-305|kic6063220,19 49 25,+41 18 00,221.3,,,Kepler-99.xml
Kepler-990,kepler-990,19 51 45,+46 52 53,,,,Kepler-990.xml
Kepler-991,kepler-991,19 48 22,+49 37 36,,,,Kepler-991.xml
Kepler-992,kepler-992,18 57 43,+47 38 30,,,,Kepler-992.xml
Kepler-993,kepler-993,19 30 27,+44 23 41,,,,Kepler-993.xml
Kepler-994,kepler-994,19 16 17,+47 24 25,,,,Kepler-994.xml
Kepler-995,kepler-995,18 58 28,+39 07 52,,,,Kepler-995.xml
Kepler-996,kepler-996,19 27 39,+41 32 01,,,,Kepler-996.xml
Kepler-997,kepler-997,19 16 56,+49 56 20,,,,Kepler-997.xml
Kepler-998,kepler-998,19 47 01,+49 12 31,,,,Kepler-998.xml
Kepler-999,kepler-999,19 58 39,+46 11 54,,,,Kepler-999.xml
KIC 10001893,kic10001893,19 09 33.405,+46 59 04.16,,,,KIC 10001893.xml
KIC 10525077,kic10525077|koi-5800|kepler-459,19 09 30.737,+47 46 16.28,,,,KIC 10525077.xml
KIC 10905746,kic10905746,18 54 31,+48 23 28,,,,KIC 10905746.xml
